player_name,player_number,spi_score
Diego Rossi,10,5.9
John McCarthy,77,7.2
Miki Yamane,2,7.1
Carlos Garces,25,8.6
Maya Yoshida,4,6.7
John Nelson,14,8.0
Marco Reus,18,7.5
Edwin Cerrillo,20,7.1
Ricard Puig,10,8.1
Gabriel Pec,11,9.0
Dejan Joveljic,9,9.3
Joseph Paintsil,28,9.3
Kelvin Yeboah,9,8.9
Joaquin Pereyra,26,6.6
Wil Trapp,20,6.2
Hassani Dotson,31,6.5
Robin Lod,17,6.7
Joseph Rosales,8,4.7
Bongokuhle Hlongwane,21,4.7
Jefferson Diaz,28,4.4
Michael Boxall,15,4.5
Carlos Harvey,67,5.2
Dayne St. Clair,97,5.6
Marco Delgado,8,6.4
Tani Oluwaseyi,14,6.0
Sang-Bin Jeong,11,6.1
Teemu Pukki,22,6.7
John McCarthy,77,7.2
Miki Yamane,2,7.1
Carlos Garces,25,8.6
Maya Yoshida,4,6.7
John Nelson,14,8.0
Marco Reus,18,7.5
Edwin Cerrillo,20,7.1
Ricard Puig,10,8.1
Gabriel Pec,11,9.0
Dejan Joveljic,9,9.3
Joseph Paintsil,28,9.3
Kelvin Yeboah,9,8.9
Joaquin Pereyra,26,6.6
Wil Trapp,20,6.2
Hassani Dotson,31,6.5
Robin Lod,17,6.7
Joseph Rosales,8,4.7
Bongokuhle Hlongwane,21,4.7
Jefferson Diaz,28,4.4
Michael Boxall,15,4.5
Carlos Harvey,67,5.2
Dayne St. Clair,97,5.6
Marco Delgado,8,6.4
Tani Oluwaseyi,14,6.0
Sang-Bin Jeong,11,6.1
Teemu Pukki,22,6.7
Patrick Schulte,28,3.9
Steven Moreira,31,5.8
Rudy Camacho,4,4.4
Malte Amundsen,18,6.9
Mohamed Farsi,23,7.2
Max Arfsten,27,7.4
Alexandru Matan,20,6.7
Darlington Nagbe,6,7.0
Christian Ramirez,17,6.1
Diego Rossi,10,7.5
Juan Hernández,9,6.3
Diego Gomez,20,7.0
Luis Suárez,9,8.0
Lionel Messi,10,8.9
Jordi Alba,18,8.1
Yannick Bright,42,7.4
Federico Redondo,55,6.5
Marcelo Weigandt,57,6.5
Noah Allen,32,6.7
Sergio Busquets,5,7.3
Ian Fray,17,7.3
Drake Callender,1,7.8
DeJuan Jones,12,6.6
Dylan Chambost,7,6.4
Jacen Russell-Rowe,19,5.8
David Ruiz,41,6.5
Serhiy Kryvtsov,27,6.3
Aljaz Ivacic,31,5.5
Nick Lima,12,6.9
Xavier Arreaga,3,6.5
David Romney,2,6.6
Peyton Miller,25,7.6
Matt Polster,8,6.3
Mark-Anthony Kaye,28,5.7
Esmir Bajraktarevic,47,7.7
Carles Gil,10,8.4
Luca Langoni,41,6.5
Bobby Wood,17,7.2
Matias Coccaro,9,6.8
Jules-Anthony Vilsaint,28,6.8
Kwadwo Opoku,7,7.0
Nathan Saliba,19,7.9
Samuel Piette,6,7.2
Tom Pearce,46,7.8
Dawid Bugaj,27,6.6
Fernando Álvarez,4,6.2
Gabriele Corbo,25,7.0
George Campbell,24,7.2
Jonathan Sirois,40,6.0
Alhassan Yusuf,80,7.1
Emmanuel Boateng,18,6.0
Giacomo Vrioni,9,6.2
Jahkeele Marshall-Rutty,11,6.6
Caden Clark,23,6.8
Dominik Yankov,8,6.2
Raheem Edwards,44,6.0
Chris Brady,34,6.3
Arnaud Souquet,2,6.2
Mauricio Pineda,22,6.4
Tobias Salquist,14,5.5
Jonathan Dean,24,6.3
Federico Navarro,31,6.6
Kellyn Acosta,23,6.0
Maren Haile-Selassie,7,6.5
Brian Gutierrez,17,6.3
Chris Mueller,8,6.4
Hugo Cuypers,9,7.0
Sam Surridge,9,8.4
Alex Muyl,19,8.2
Hany Mukhtar,10,7.3
Jonathan Perez,24,6.7
Brian Anunga,27,7.0
Sean Davis,54,6.9
Taylor Washington,23,8.1
Josh Bauer,22,6.9
Walker Zimmerman,25,7.5
Julian Gaines,29,8.2
Elliot Panicco,30,8.9
Rafael Czichos,5,6.6
Gaston Claudio Gimenez,30,6.9
Justin Reynolds,36,6.2
Georgios Koutsias,19,6.2
Anibal Godoy,20,8.1
Patrick Yazbek,15,6.7
Jacob Shaffelburg,14,7.5
Roman Bürki,1,6.2
Tomas Totland,14,7.5
Tim Parker,26,7.0
Kyle Hiebert,22,6.8
Jayden Reid,99,6.9
Christopher Durkin,8,7.3
Eduard Löwen,10,7.9
Nökkvi Thorisson,29,7.6
Cedric Teuchert,36,8.0
Marcel Hartel,17,8.1
Simon Becher,11,6.9
Logan Farrington,23,6.4
Petar Musa,9,6.0
Sam Junqua,29,7.4
Tsiki Ntsabeleng,16,6.1
Carl Sainte,12,7.5
Paul Arriola,7,8.3
Marco Farfan,4,6.5
Nkosi Tafari,17,7.3
Sebastien Ibeagha,25,6.4
Ema Twumasi,22,6.1
Maarten Paes,30,7.2
Indiana Vassilev,19,6.5
Johnny Klein,41,6.3
Hosei Kijima,85,6.3
Tomas Pondeca,35,6.4
Bernard Kamungo,77,6.2
Tarik Scott,41,6.5
Eugene Ansah,31,6.1
Chris Brady,34,7.1
Allan Arigoni,27,6.5
Mauricio Pineda,22,5.9
Rafael Czichos,5,6.8
Andrew Gutman,15,6.5
Brian Gutierrez,17,6.5
Fabian Herbers,21,6.3
Kellyn Acosta,23,6.8
Chris Mueller,8,5.7
Hugo Cuypers,9,6.6
Georgios Koutsias,19,6.3
Giacomo Vrioni,9,6.8
Tomas Chancalay,5,7.7
Carles Gil,10,7.5
Esmir Bajraktarevic,47,7.4
Mark-Anthony Kaye,28,7.5
Matt Polster,8,7.7
Ryan Spaulding,34,7.2
Henry Kessler,4,7.6
Xavier Arreaga,3,7.9
Nick Lima,12,7.8
Aljaz Ivacic,31,7.7
Carlos Teran,4,6.4
Xherdan Shaqiri,10,6.2
Tom Barlow,12,6.0
Omari Glasgow,55,6.3
Gaston Claudio Gimenez,30,6.0
Dylan Borrero,11,6.7
Carlos Miguel,31,7.8
Dylan Nealis,12,8.1
Andres Reyes,4,6.3
Sean Nealis,15,6.4
Cameron Harper,17,6.8
John Tolkin,47,7.6
Daniel Edelman,75,7.4
Felipe Carballo,20,6.6
Emil Forsberg,10,8.6
Dante Vanzeir,13,7.3
Lewis Morgan,9,6.5
Juan Hernández,9,8.0
Diego Rossi,10,7.0
Dylan Chambost,7,7.1
Darlington Nagbe,6,7.6
Sean Zawadzki,25,7.7
DeJuan Jones,12,7.2
Mohamed Farsi,23,6.6
Evgen Cheberko,21,8.4
Rudy Camacho,4,6.3
Steven Moreira,31,6.7
Patrick Schulte,28,8.1
Ronald Donkor,48,6.5
Max Arfsten,27,7.5
Alexandru Matan,20,7.6
Jacen Russell-Rowe,19,6.0
Zack Steffen,95,7.2
Keegan Rosenberry,2,7.3
Lalas Abubakar,6,5.7
Andreas Maxsø,5,7.4
Samuel Vines,3,7.2
Cole Bassett,23,8.1
Connor Ronan,20,6.9
Calvin Harris,14,8.8
Djordje Mihailovic,10,8.9
Kévin Cabral,91,6.5
Rafael Navarro,9,8.1
Mason Toye,13,6.6
Sunusi Ibrahim,14,6.1
Kwadwo Opoku,7,6.8
Raheem Edwards,44,6.4
Nathan Saliba,19,7.2
Bryce Duke,10,7.5
Ruan,22,6.5
Fernando Álvarez,4,5.9
Gabriele Corbo,25,5.9
George Campbell,24,6.0
Jonathan Sirois,40,6.3
Oliver Larraz,18,6.8
Omir Fernandez,11,6.5
Lassi Lappalainen,21,7.2
Matias Coccaro,9,5.8
Josef Martinez,17,6.0
Jules-Anthony Vilsaint,28,6.1
Dominik Yankov,8,6.0
Jonathan Sirois,40,8.0
George Campbell,24,7.7
Gabriele Corbo,25,7.1
Fernando Álvarez,4,7.2
Jahkeele Marshall-Rutty,11,7.2
Raheem Edwards,44,7.6
Samuel Piette,6,7.4
Joel Waterman,16,7.6
Caden Clark,23,8.5
Bryce Duke,10,8.0
Josef Martinez,17,7.3
Alonso Martinez,16,5.9
Santiago Rodriguez,10,6.4
Maxi Moralez,27,6.2
Hannes Wolf,17,6.5
James Sands,6,7.7
Keaton Parks,55,7.3
Kevin O'Toole,22,7.2
Justin Haak,80,5.7
Thiago Martins,13,6.6
Tayvon Gray,24,6.3
Matt Freese,49,6.0
Jules-Anthony Vilsaint,28,6.3
Sunusi Ibrahim,14,5.8
Mitja Ilenic,35,5.9
Andres Perea,8,6.1
Julian Fernandez,11,6.2
Birk Risa,5,5.9
Zack Steffen,95,7.6
Sebastian Anderson,22,7.0
Lalas Abubakar,6,7.2
Andreas Maxsø,5,7.2
Reggie Cannon,4,7.8
Connor Ronan,20,7.1
Oliver Larraz,18,7.2
Darren Yapi,77,8.4
Djordje Mihailovic,10,8.6
