player_name,player_number,spi_score
Daniel Edelman,75,7.0
John Tolkin,47,7.9
Cameron Harper,17,6.9
Sean Nealis,15,7.3
Andres Reyes,4,7.5
Dylan Nealis,12,7.1
Carlos Miguel,31,9.0
Andres Perea,8,6.5
Noah Eile,3,6.6
Peter Stroud,5,6.6
Alex Bono,24,7.8
Aaron Herrera,22,7.7
Christopher McVey,97,7.1
Lucas Bartlett,3,7.2
Cristian Dajome,11,6.5
Matti Peltola,4,6.9
Jared Stroud,8,7.0
Gabriel Pirani,10,5.9
Mateusz Klich,43,8.1
Jacob Murrell,17,6.8
Christian Benteke,20,9.1
Danny Musovski,17,6.2
Leo Chu,23,7.2
Albert Rusnak,11,6.9
Jordan Morris,13,6.6
Joao Paulo,6,7.1
Joshua Atencio,8,7.3
Cody Baker,33,7.2
Jon Bell,15,6.9
Yeimar Gomez,28,6.5
Cristian Roldan,7,7.4
Stefan Frei,24,4.7
Jackson Hopkins,25,6.3
Martin Rodriguez,14,6.2
Pedro Santos,7,6.4
Obed Vargas,18,6.9
Andrew Thomas,26,6.7
Raul Ruidiaz,9,5.9
Paul Rothrock,14,5.9
Tim Melia,29,7.4
Khiry Shelton,11,7.6
Robert Voloder,4,7.0
Andreu Fontàs,3,6.3
Tim Leibold,14,8.1
Jacob Davis,17,8.6
Zorhan Bassong,22,7.2
Stephen Afrifa,30,8.1
Erik Thommy,26,7.8
Daniel Salloi,10,8.2
William Agada,23,5.5
Ramiro Enrique,7,6.3
Ivan Angulo,77,6.3
Martin Ojeda,11,6.5
Facundo Torres,10,6.3
Wilder Cartagena,16,7.0
Cesar Araujo,5,5.9
Kyle Smith,24,6.9
Robin Jansson,6,5.6
David Brekalo,4,6.1
Dagur Dan Thorhallsson,17,6.0
Pedro Gallese,1,5.7
Daniel Rosero,5,6.9
Alan Pulido,9,7.2
Johnny Russell,7,6.5
Logan Ndenbe,18,6.3
Rémi Walter,54,7.4
Rafael Santos,3,6.8
Duncan McGuire,13,6.0
Luis Muriel,9,5.9
Nicolás Lodeiro,14,6.5
Maxime Crepeau,16,5.9
Juan Mosquera,29,6.0
Miguel Araujo,2,5.4
Dario Zuparic,13,7.0
Claudio Bravo,5,6.9
David Ayala,24,7.5
Diego Chara,21,6.4
Santiago Moreno,30,7.8
Evander Ferreira,10,9.0
Jonathan Rodriguez,14,7.8
Felipe Mora,9,8.3
Simon Becher,11,7.7
Marcel Hartel,17,8.9
Cedric Teuchert,36,8.4
Nökkvi Thorisson,29,7.7
Eduard Löwen,10,8.3
Christopher Durkin,8,7.3
Jayden Reid,99,6.1
Kyle Hiebert,22,6.0
Henry Kessler,5,6.4
Tomas Totland,14,5.5
Roman Bürki,1,5.0
Eryk Williamson,19,6.4
Antony,11,6.5
Indiana Vassilev,19,5.9
Jannes-Kilian Horn,38,6.8
Hosei Kijima,85,6.3
Jimmy Maurer,1,8.0
Paul Arriola,7,7.2
Sebastien Ibeagha,25,7.4
Marco Farfan,4,7.0
Sam Junqua,29,6.8
Asier Illarramendi,14,8.1
Manuel Cafumana,21,6.8
Bernard Kamungo,77,6.4
Sebastian Lletget,8,7.1
Alan Velasco,20,6.7
Petar Musa,9,7.9
Daniel Salloi,10,6.7
William Agada,23,7.3
Alenis Vargas,20,5.7
Erik Thommy,26,6.8
Nemanja Radoja,6,6.4
Memo Rodriguez,8,7.2
Logan Ndenbe,18,6.6
Robert Voloder,4,6.3
Joaquin Fernández,24,5.5
Tim Leibold,14,5.9
John Pulskamp,1,6.7
Ema Twumasi,22,6.6
Tsiki Ntsabeleng,16,6.4
Jesus Ferreira,10,6.1
Logan Farrington,23,6.1
Zorhan Bassong,22,6.7
Alan Pulido,9,5.9
Stephen Afrifa,30,6.1
Robert Castellanos,19,6.3
Tim Melia,29,6.1
Jacob Davis,17,7.7
Daniel Rosero,5,6.4
Andreu Fontàs,3,6.8
Tim Leibold,14,6.9
Erik Thommy,26,6.7
Nemanja Radoja,6,6.9
Rémi Walter,54,8.1
Johnny Russell,7,7.5
Alan Pulido,9,6.2
Daniel Salloi,10,7.2
Chris Donovan,25,6.3
Quinn Sullivan,33,7.0
Jeremy Rafanello,14,6.2
Jack McGlynn,16,7.0
Jesus Bueno,20,6.6
Jose Andres Martinez,8,6.0
Nathan Harriel,26,6.6
