player_name,player_number,spi_score
Diego Rubio,14,6.4
Albert Rusnak,11,6.8
Jordan Morris,13,7.5
Reed Baker-Whiting,21,6.2
Sean Johnson,1,5.5
Richie Laryea,22,6.5
Sigurd Rosted,17,6.7
Raoul Petretta,28,5.1
Federico Bernardeschi,10,7.1
Lorenzo Insigne,24,6.1
Matthew Longstaff,8,6.0
Alonso Coello,14,7.3
Jonathan Osorio,21,6.1
Derrick Etienne,11,6.7
Deandre Kerr,29,6.2
Jacen Russell-Rowe,19,7.2
Diego Rossi,10,6.0
Dylan Chambost,7,7.2
DeJuan Jones,12,6.5
Sean Zawadzki,25,7.4
Derrick Jones,5,6.5
Marcelo Herrera,2,8.2
Malte Amundsen,18,7.2
Rudy Camacho,4,7.7
Evgen Cheberko,21,7.2
Patrick Schulte,28,8.1
Tyrese Spicer,16,6.6
Kosi Thompson,47,6.2
Juan Hernández,9,8.3
Max Arfsten,27,6.8
Aziel Jackson,13,6.4
Maarten Paes,30,7.0
Sebastien Ibeagha,25,7.0
Omar Gonzalez,3,6.6
Marco Farfan,4,7.4
Ruan,5,7.3
Patrickson Delgado,6,8.1
Asier Illarramendi,14,6.8
Paul Arriola,7,6.7
Jesus Ferreira,10,8.3
Petar Musa,9,7.7
Alan Velasco,20,6.8
Nathan Ordaz,27,5.8
Kei Ansu Kamara,23,6.1
David Martinez,30,6.9
Lewis O'Brien,8,7.6
Eduard Atuesta,20,8.0
Timothy Tillman,11,6.4
Omar Campos,2,6.8
Eddie Segura,4,4.8
Maxime Chanot,25,5.9
Ryan Hollingshead,24,6.7
Thomas Hasal,12,5.7
Logan Farrington,23,8.1
Sam Junqua,29,6.1
Sebastian Lletget,8,6.3
Sergi Palencia,14,6.8
Ilie Sanchez,6,6.5
Denis Bouanga,99,6.1
Olivier Giroud,9,5.8
Aaron Long,33,6.4
Steve Clark,12,7.6
Griffin Dorsey,25,7.8
Erik Sviatchenko,28,8.1
Micael,31,7.2
Daniel Steres,5,8.9
Héctor Herrera,16,7.5
Artur,6,7.6
Adalberto Carrasquilla,20,6.7
Amine Bassi,8,7.8
Ibrahim Aliyu,18,7.3
Ezequiel Ponce,10,7.2
Joseph Paintsil,28,6.5
Dejan Joveljic,9,6.8
Gabriel Pec,11,7.8
Ricard Puig,10,7.7
Edwin Cerrillo,20,6.0
Marco Reus,18,6.2
Julian Aude,3,6.7
Maya Yoshida,4,6.8
Carlos Garces,25,6.6
Miki Yamane,2,6.9
John McCarthy,77,6.4
Brooklyn Raines,35,7.3
Latif Blessing,15,6.1
John Nelson,14,6.3
Gaston Brugman,5,6.3
Andre Blake,18,5.0
Nathan Harriel,26,7.2
Jakob Glesnes,5,6.7
Jack Elliott,3,6.0
Kai Wagner,27,7.2
Jose Andres Martinez,8,7.4
Alejandro Bedoya,11,7.2
Jack McGlynn,16,7.1
Daniel Gazdag,10,7.6
Quinn Sullivan,33,8.0
Julian Carranza,9,6.6
Cristian Arango,9,7.6
Fidel Barajas,17,6.2
Matt Crooks,25,6.8
Andres Gomez,11,8.1
Braian Ojeda,6,7.3
Emeka Eneli,14,7.2
Alexandros Katranis,98,7.8
Brayan Vera,4,7.3
Justen Glad,15,6.9
Bode Hidalgo,19,7.6
Zac MacMath,18,6.4
Mikael Uhre,7,6.0
Anderson Julio,29,6.6
Maikel Chang Ramirez,16,5.6
John McCarthy,77,6.1
Miki Yamane,2,7.5
Jalen Neal,24,7.5
Maya Yoshida,4,6.9
John Nelson,14,7.2
Marco Reus,18,8.3
Edwin Cerrillo,20,8.2
Ricard Puig,10,9.6
Gabriel Pec,11,8.1
Dejan Joveljic,9,8.9
Diego Fagundez,7,6.8
Denis Bouanga,99,8.0
Olivier Giroud,9,6.3
Mateusz Bogusz,19,7.1
Lewis O'Brien,8,6.2
Ilie Sanchez,6,6.2
Timothy Tillman,11,7.8
Omar Campos,2,5.6
Aaron Long,33,5.4
Eddie Segura,4,5.8
Ryan Hollingshead,24,4.9
Hugo Lloris,1,6.6
Miguel Berry,27,6.3
Maxime Chanot,25,6.6
Kei Ansu Kamara,23,6.4
Roman Bürki,1,7.4
Tomas Totland,14,6.8
Henry Kessler,5,7.0
Kyle Hiebert,22,7.8
Jannes-Kilian Horn,38,6.8
Rasmus Alm,21,7.4
Eduard Löwen,10,8.5
Akil Watts,20,7.6
Marcel Hartel,17,7.5
Cedric Teuchert,36,9.1
Joao Klauss,9,7.3
Stephen Afrifa,30,7.5
William Agada,23,6.1
Alenis Vargas,20,6.7
Zorhan Bassong,22,6.5
Rémi Walter,54,6.6
Memo Rodriguez,8,6.0
Tim Leibold,14,6.3
Robert Voloder,4,6.0
Daniel Rosero,5,5.9
Jacob Davis,17,7.3
John Pulskamp,1,5.3
Nökkvi Thorisson,29,7.2
Simon Becher,11,6.3
Logan Ndenbe,18,6.3
Khiry Shelton,11,6.3
Johnny Russell,7,6.4
Alan Pulido,9,5.7
Daniel Salloi,10,6.3
Maarten Paes,30,7.1
Sebastien Ibeagha,25,7.2
Nkosi Tafari,17,6.9
Marco Farfan,4,7.7
Ema Twumasi,22,7.1
Paul Arriola,7,8.3
Sebastian Lletget,8,7.7
Tsiki Ntsabeleng,16,6.9
Logan Farrington,23,7.4
Bernard Kamungo,77,6.3
Petar Musa,9,7.3
Gyasi Zardes,9,7.5
Jader Obrian,11,5.9
Sebastian Driussi,10,4.7
Ethan Finlay,13,6.0
Daniel Pereira,6,7.8
Owen Wolff,33,6.5
Guilherme,29,6.2
Leo Väisänen,15,6.6
Julio Cascante,18,6.0
