player_name,player_number,spi_score
Mitja Ilenic,35,6.1
Thiago Martins,13,7.3
Justin Haak,80,7.0
Kevin O'Toole,22,6.3
Keaton Parks,55,7.3
James Sands,6,6.6
Hannes Wolf,17,7.0
Maxi Moralez,27,7.4
Santiago Rodriguez,10,7.4
Alonso Martinez,16,6.4
Lewis Morgan,9,6.7
Dante Vanzeir,13,8.2
Emil Forsberg,10,7.0
Felipe Carballo,20,7.7
Daniel Edelman,75,7.0
John Tolkin,47,7.9
Cameron Harper,17,6.9
Sean Nealis,15,7.3
Andres Reyes,4,7.5
Dylan Nealis,12,7.1
Carlos Miguel,31,9.0
Andres Perea,8,6.5
Noah Eile,3,6.6
Peter Stroud,5,6.6
Kristijan Kahlina,1,8.3
Nathan Byrne,14,6.6
Adilson Malanda,29,6.5
Andrew Privett,34,6.7
Joao Pedro,20,7.9
Brandt Bronico,13,6.2
Ashley Westwood,8,7.6
Djibril Diani,28,6.2
Brecht Dejaeghere,10,6.1
Patrick Agyemang,33,6.2
Kerwin Vargas,18,7.1
Diego Fagundez,7,7.5
Dejan Joveljic,9,6.0
Gabriel Pec,11,7.9
Ricard Puig,10,7.5
Edwin Cerrillo,20,6.8
Marco Delgado,8,7.1
Julian Aude,3,6.9
Jalen Neal,24,7.2
Maya Yoshida,4,7.3
Miki Yamane,2,7.0
Novak Micovic,35,6.8
Nikola Petkovic,23,6.3
Tyger Smalls,25,6.7
Scott Arfield,37,6.0
John Nelson,14,6.1
Daniel Aguirre,37,6.1
Gaston Brugman,5,6.3
Drake Callender,1,6.5
David Ruiz,41,8.7
Ryan Sailor,15,6.7
Noah Allen,32,7.3
Franco Negri,33,8.3
Julian Gressel,24,7.4
Tomas Aviles,6,6.5
Lawson Sunderland,43,6.6
Shanyder Borgelin,49,6.9
Leonardo Campana,8,6.3
Leo Afonso,73,8.5
Rafael Navarro,9,7.4
Kévin Cabral,91,7.4
Djordje Mihailovic,10,6.4
Omir Fernandez,11,6.2
Cole Bassett,23,7.5
Oliver Larraz,18,6.6
Samuel Vines,3,6.9
Andreas Maxsø,5,6.2
Moise Bombito,64,6.9
Sebastian Anderson,22,6.3
Zack Steffen,95,6.6
Diego Gomez,20,6.9
Lionel Messi,10,8.3
Sergio Busquets,5,7.1
Marcelo Weigandt,57,6.3
Jordi Alba,18,6.5
Darren Yapi,77,6.5
Calvin Harris,14,6.9
Kimani Stewart,27,5.9
Alec Kann,1,6.2
Miles Robinson,12,6.9
Matt Miazga,21,7.6
Ian Murphy,32,7.8
DeAndre Yedlin,91,6.0
Luca Orellano,23,8.3
Obinna Nwobodo,5,6.7
Pavel Bucha,20,7.7
Luciano Acosta,10,8.8
Corey Baird,11,8.9
Yuya Kubo,7,7.4
Rafael Navarro,9,6.4
Kévin Cabral,49,6.4
Djordje Mihailovic,10,7.3
Calvin Harris,14,6.1
Oliver Larraz,18,6.2
Cole Bassett,23,7.5
Samuel Vines,3,6.9
Andreas Maxsø,5,6.2
Moise Bombito,64,7.3
Keegan Rosenberry,2,6.8
Zack Steffen,95,7.5
Bret Halsey,15,7.4
Darren Yapi,77,6.7
Kimani Stewart,27,6.3
Omir Fernandez,11,6.5
Brad Stuver,1,7.3
Jon Gallagher,17,8.3
Julio Cascante,18,6.4
Matt Hedges,2,6.8
Guilherme,29,6.5
Alexander Ring,8,7.2
Jhojan Valencia,5,6.0
Daniel Pereira,6,6.9
Jader Obrian,11,6.5
Diego Rubio,14,7.4
Emiliano Ariel Rigoni,7,6.6
Mikael Uhre,7,7.6
Julian Carranza,9,7.6
Daniel Gazdag,10,8.2
Jack McGlynn,16,8.3
Quinn Sullivan,33,7.2
Jose Andres Martinez,8,7.6
Kai Wagner,27,6.0
Damion Lowe,17,6.1
Jack Elliott,3,6.6
Nathan Harriel,26,6.8
Andre Blake,18,5.5
Zan Kolmanic,23,6.4
Owen Wolff,33,6.5
Hector Jimenez,16,6.8
Sebastian Driussi,10,5.8
Alejandro Bedoya,11,6.4
Andre Blake,18,6.4
Nathan Harriel,26,8.1
Jakob Glesnes,5,6.8
Jack Elliott,3,7.0
Kai Wagner,27,9.1
Leon Flach,31,6.3
Quinn Sullivan,33,6.8
Jack McGlynn,16,7.1
Daniel Gazdag,10,7.2
Mikael Uhre,7,6.5
Tai Baribo,28,6.7
Daniel Rios,19,6.7
Tyler Wolff,28,6.5
Aleksey Miranchuk,59,7.1
Saba Lobzhanidze,9,7.3
Ajani Fortune,35,7.2
Bartosz Slisz,6,7.1
Pedro Amador,18,7.3
Derrick Williams,3,6.7
Stian Gregersen,5,6.6
Brooks Lennon,11,7.5
Brad Guzan,1,7.5
Alejandro Bedoya,11,6.6
Danley Jean Jacques,21,6.5
Samuel Adeniran,9,6.0
Tristan Muyumba,8,6.5
Maxime Crepeau,16,8.2
Juan Mosquera,29,6.2
Zac McGraw,18,7.3
Kamal Miller,4,6.9
Eric Miller,15,7.8
Cristhian Paredes,22,7.8
Diego Chara,21,7.5
Eryk Williamson,19,6.0
Santiago Moreno,30,8.7
Dairon Asprilla,27,7.5
Antony,11,6.8
Cristian Dajome,11,6.4
Theodore Ku-DiPietro,21,6.7
Gabriel Pirani,10,6.8
Jared Stroud,8,6.6
Matti Peltola,4,7.8
Mateusz Klich,43,8.0
Pedro Santos,7,7.5
Christopher McVey,97,7.3
Lucas Bartlett,3,7.5
Aaron Herrera,22,8.9
Alex Bono,24,5.9
Dario Zuparic,13,6.3
David Ayala,24,6.2
Kristian Fletcher,27,6.9
Jackson Hopkins,25,6.1
John McCarthy,77,6.1
Miki Yamane,2,7.5
Jalen Neal,24,7.5
Maya Yoshida,4,6.9
John Nelson,14,7.2
Marco Reus,18,8.3
Edwin Cerrillo,20,8.2
Ricard Puig,10,9.6
Gabriel Pec,11,8.1
Dejan Joveljic,9,8.9
Diego Fagundez,7,6.8
Denis Bouanga,99,8.0
Olivier Giroud,9,6.3
Mateusz Bogusz,19,7.1
Lewis O'Brien,8,6.2
Ilie Sanchez,6,6.2
Timothy Tillman,11,7.8
Omar Campos,2,5.6
Aaron Long,33,5.4
Eddie Segura,4,5.8
Ryan Hollingshead,24,4.9
Hugo Lloris,1,6.6
Miguel Berry,27,6.3
Maxime Chanot,25,6.6
Kei Ansu Kamara,23,6.4
Kristijan Kahlina,1,5.9
Nathan Byrne,14,6.9
Adilson Malanda,29,6.6
Andrew Privett,34,6.2
Tim Ream,3,6.2
Brandt Bronico,13,7.3
Ashley Westwood,8,6.4
Junior Urso,30,7.3
Pep Biel,10,8.8
Karol Swiderski,9,9.3
Liel Abada,11,8.0
Brian Gutierrez,17,8.0
Georgios Koutsias,19,6.2
Ariel Lassiter,11,6.7
Fabian Herbers,21,7.8
Gaston Claudio Gimenez,30,7.2
Kellyn Acosta,23,8.1
Jonathan Dean,24,6.9
Rafael Czichos,5,5.6
Wyatt Omsberg,16,5.8
Arnaud Souquet,2,5.5
Chris Brady,34,6.6
Djibril Diani,28,6.1
Kerwin Vargas,18,6.1
Patrick Agyemang,33,6.0
Jamie Paterson,7,6.2
Tobias Salquist,14,6.2
Justin Reynolds,36,6.2
Chris Mueller,8,7.1
Tom Barlow,12,6.6
Federico Navarro,31,7.2
Daniel,42,7.6
Carlos Akapo,29,6.8
Bruno Wilson,4,6.7
Tanner Beason,15,6.4
Oscar Verhoeven,33,6.3
Carlos Gruezo,7,7.6
Jackson Yueill,14,6.7
Cristian Espinoza,10,7.6
Hernan Lopez,23,9.1
Paul Marie,3,7.1
Jack Skahan,16,6.7
Alan Velasco,20,7.8
Petar Musa,9,7.2
Jesus Ferreira,10,6.4
Paul Arriola,7,7.0
Manuel Cafumana,21,6.9
Asier Illarramendi,14,6.9
Ruan,5,6.4
Marco Farfan,4,5.9
Sebastien Ibeagha,25,7.2
Nkosi Tafari,17,5.8
Jimmy Maurer,1,5.2
Vitor Costa,94,6.8
Jeremy Ebobisse,11,7.6
Niko Tsakiris,30,6.9
Amahl Pellegrino,9,7.2
Bernard Kamungo,77,7.1
Tsiki Ntsabeleng,16,6.7
Logan Farrington,23,5.7
Ema Twumasi,22,6.0
Pedro Gallese,1,4.0
Dagur Dan Thorhallsson,17,6.7
Rodrigo Adrián Schlegel,15,6.0
Robin Jansson,6,6.1
Rafael Santos,3,6.9
Felipe,8,5.7
Cesar Araujo,5,6.0
Ramiro Enrique,7,6.2
Martin Ojeda,11,7.6
Ivan Angulo,77,6.5
Duncan McGuire,13,8.7
Caden Clark,37,6.5
Teemu Pukki,22,8.7
Sang-Bin Jeong,11,7.4
Hassani Dotson,31,7.1
Wil Trapp,20,7.3
Robin Lod,17,7.1
Joseph Rosales,8,6.8
Miguel Tapias,4,6.7
Michael Boxall,15,7.1
D.J. Taylor,27,7.7
Dayne St. Clair,97,6.2
Wilder Cartagena,16,5.9
Nicolás Lodeiro,14,6.5
Luis Muriel,9,6.6
Michael Halliday,26,6.2
Kervin Arriaga,33,7.1
Tani Oluwaseyi,14,7.2
Bongokuhle Hlongwane,21,7.1
Jordan Adebayo-Smith,99,6.4
Zarek Valentin,3,6.0
James Pantemis,41,8.5
Juan Mosquera,29,7.3
Dario Zuparic,13,8.0
Kamal Miller,4,6.4
Claudio Bravo,5,7.6
Diego Chara,21,7.4
David Ayala,24,6.9
Santiago Moreno,30,7.4
Evander Ferreira,10,8.3
Jonathan Rodriguez,14,6.9
Felipe Mora,9,7.5
Bernard Kamungo,77,5.4
Logan Farrington,23,6.0
Alan Velasco,20,5.5
Sebastian Lletget,8,7.4
Asier Illarramendi,14,7.7
Manuel Cafumana,21,7.6
Sam Junqua,29,6.8
Marco Farfan,4,6.2
Sebastien Ibeagha,25,6.6
Paul Arriola,7,6.7
Jimmy Maurer,1,8.8
Miguel Araujo,2,6.9
Antony,11,7.1
Eric Miller,15,6.4
Cristhian Paredes,22,6.7
Tsiki Ntsabeleng,16,7.0
Jesus Ferreira,10,6.1
Kristijan Kahlina,1,7.6
Nathan Byrne,14,7.4
Adilson Malanda,29,7.4
Andrew Privett,34,7.2
Tim Ream,3,7.2
Junior Urso,30,7.4
Ashley Westwood,8,7.6
Brandt Bronico,13,7.8
Pep Biel,10,7.0
Karol Swiderski,9,7.7
Liel Abada,11,6.7
Sunusi Ibrahim,14,5.6
Caden Clark,23,7.5
Bryce Duke,10,5.9
Nathan Saliba,19,5.7
Samuel Piette,6,6.9
Raheem Edwards,44,5.9
Jahkeele Marshall-Rutty,11,7.0
Gabriele Corbo,25,7.0
Joel Waterman,16,6.5
George Campbell,24,7.0
Jonathan Sirois,40,6.4
Kerwin Vargas,18,6.4
