player_name,player_number,spi_score
Rafael Navarro,9,6.5
Omir Fernandez,11,6.0
Djordje Mihailovic,10,6.6
Darren Yapi,77,6.5
Connor Ronan,20,6.3
Oliver Larraz,18,6.7
Reggie Cannon,4,5.8
Andreas Maxsø,5,5.8
Lalas Abubakar,6,6.4
Keegan Rosenberry,2,5.7
Zack Steffen,95,5.5
Sang-Bin Jeong,11,7.5
Franco Fragapane,7,6.0
Tani Oluwaseyi,14,6.1
Calvin Harris,14,6.6
Jackson Travis,99,6.2
Jasper Löffelsend,21,6.4
Jonathan Lewis,7,5.9
Roman Celentano,18,8.5
Chidozie Awaziem,6,6.9
Miles Robinson,12,7.5
Teenage Lingani Hadebe,16,7.6
DeAndre Yedlin,91,6.6
Yamil Asad,27,7.7
Pavel Bucha,20,6.9
Obinna Nwobodo,5,7.8
Luciano Acosta,10,6.9
Luca Orellano,23,7.6
Yuya Kubo,7,6.1
Alonso Martinez,16,5.8
Santiago Rodriguez,10,6.3
Maxi Moralez,27,7.0
Hannes Wolf,17,6.7
James Sands,6,7.6
Keaton Parks,55,6.9
Kevin O'Toole,22,7.6
Justin Haak,80,6.7
Thiago Martins,13,7.3
Mitja Ilenic,35,6.5
Matt Freese,49,9.1
Sergio Santos,17,6.5
Andres Perea,8,6.1
Hugo Lloris,1,7.8
Marlon,5,6.5
Maxime Chanot,25,7.8
Aaron Long,33,6.8
Sergi Palencia,14,7.5
Timothy Tillman,11,6.9
Lewis O'Brien,8,6.8
Ryan Hollingshead,24,7.4
Cristian Olivera,13,6.2
Mateusz Bogusz,19,8.2
Denis Bouanga,99,7.0
Fabrice Picault,11,6.0
Brian White,24,5.9
Ryan Gauld,25,7.4
Pedro Vite,45,6.2
Andrés Cubas,20,6.4
Stuart Armstrong,26,7.4
Sam Adekugbe,3,7.0
Ranko Veselinovic,4,6.3
Tristan Blackmon,6,6.7
Sebastian Berhalter,16,6.3
Yohei Takaoka,1,5.8
Eduard Atuesta,20,6.2
Olivier Giroud,9,6.6
Ali Ahmed,22,6.9
Alessandro Schöpf,8,6.4
Elliot Panicco,30,8.5
Brent Kallman,44,6.6
Jack Maher,5,5.9
Josh Bauer,22,7.2
Alex Muyl,19,6.8
Brian Anunga,27,7.8
Dru Yearwood,16,8.7
Amar Sejdic,6,6.2
Taylor Washington,23,7.0
Orrin McKinze Gaines,17,7.3
Teal Bunbury,12,7.5
Diego Fagundez,7,6.6
Dejan Joveljic,9,7.9
Joseph Paintsil,28,7.1
Ricard Puig,10,8.2
Edwin Cerrillo,20,6.5
Marco Delgado,8,8.2
Julian Aude,3,7.3
Martin Cáceres,22,7.2
Maya Yoshida,4,7.4
Miki Yamane,2,7.5
John McCarthy,77,6.9
Shaq Moore,18,6.3
Hany Mukhtar,10,6.4
Tyler Boyd,11,6.4
Sam Surridge,9,6.0
Gaston Brugman,5,6.9
Miguel Berry,27,6.1
Joe Willis,1,6.5
Josh Bauer,22,6.4
Walker Zimmerman,25,6.4
Jack Maher,5,6.2
Daniel Lovitz,2,6.3
Dru Yearwood,16,5.7
Sean Davis,54,6.4
Tyler Boyd,11,6.9
Hany Mukhtar,10,7.3
Sam Surridge,9,6.3
Teal Bunbury,12,6.0
Diego Gomez,20,7.4
Leonardo Campana,8,6.4
Julian Gressel,24,8.2
Benjamin Cremaschi,30,7.3
Federico Redondo,55,7.7
Yannick Bright,42,7.0
Jordi Alba,18,8.3
Sergio Busquets,5,7.3
Serhiy Kryvtsov,27,6.7
Ian Fray,17,8.3
Drake Callender,1,7.5
Amar Sejdic,6,6.9
Brian Anunga,27,6.6
Forster Ajago,21,7.0
Ryan Sailor,15,6.2
Robert Taylor,16,6.5
Maarten Paes,30,7.0
Sebastien Ibeagha,25,7.0
Omar Gonzalez,3,6.6
Marco Farfan,4,7.4
Ruan,5,7.3
Patrickson Delgado,6,8.1
Asier Illarramendi,14,6.8
Paul Arriola,7,6.7
Jesus Ferreira,10,8.3
Petar Musa,9,7.7
Alan Velasco,20,6.8
Nathan Ordaz,27,5.8
Kei Ansu Kamara,23,6.1
David Martinez,30,6.9
Lewis O'Brien,8,7.6
Eduard Atuesta,20,8.0
Timothy Tillman,11,6.4
Omar Campos,2,6.8
Eddie Segura,4,4.8
Maxime Chanot,25,5.9
Ryan Hollingshead,24,6.7
Thomas Hasal,12,5.7
Logan Farrington,23,8.1
Sam Junqua,29,6.1
Sebastian Lletget,8,6.3
Sergi Palencia,14,6.8
Ilie Sanchez,6,6.5
Denis Bouanga,99,6.1
Olivier Giroud,9,5.8
Aaron Long,33,6.4
Drake Callender,1,8.5
Tomas Aviles,6,5.6
Sergio Busquets,5,7.8
Hector Martinez,14,7.6
Marcelo Weigandt,57,8.2
Yannick Bright,42,7.7
Federico Redondo,55,7.0
Jordi Alba,18,7.9
Matias Rojas,7,7.1
Luis Suárez,9,9.1
Diego Gomez,20,7.2
Kevin Kelsy,19,6.0
Gerardo Valenzuela,22,6.0
Nicholas Gioacchini,9,5.7
Pavel Bucha,20,7.0
Obinna Nwobodo,5,5.7
Yuya Kubo,7,7.2
Luca Orellano,23,7.1
Miles Robinson,12,6.5
Chidozie Awaziem,6,5.9
DeAndre Yedlin,91,6.6
Roman Celentano,18,5.6
Ian Fray,17,6.9
Benjamin Cremaschi,30,6.2
Ian Murphy,32,6.2
Luciano Acosta,10,6.3
Sergio Santos,17,6.4
Corey Baird,11,6.2
Hugo Lloris,1,6.9
Jesus Murillo,3,8.2
Maxime Chanot,25,6.4
Aaron Long,33,7.0
Sergi Palencia,14,6.6
Lewis O'Brien,8,7.2
Eduard Atuesta,20,6.2
Ryan Hollingshead,24,8.2
Mateusz Bogusz,19,8.3
Olivier Giroud,9,6.3
Denis Bouanga,99,6.9
Jordan Morris,13,8.2
Pedro De la Vega,10,6.6
Albert Rusnak,11,6.9
Obed Vargas,18,7.1
Cristian Roldan,7,7.7
Reed Baker-Whiting,21,6.6
Alex Roldan,16,8.1
Jon Bell,15,7.4
Jackson Ragen,25,8.0
Yeimar Gomez,28,7.1
Stefan Frei,24,8.8
Timothy Tillman,11,6.6
Cristian Olivera,13,7.2
Ilie Sanchez,6,6.4
Kei Ansu Kamara,23,6.4
Nathan,4,6.8
Georgi Minoungou,93,7.5
Joshua Atencio,8,6.5
Joao Paulo,6,6.4
Raul Ruidiaz,9,6.3
Brad Guzan,1,6.6
Stian Gregersen,5,7.3
Derrick Williams,3,7.4
Noah Cobb,24,7.2
Brooks Lennon,11,7.4
Caleb Wiley,26,8.0
Ajani Fortune,35,6.5
Tristan Muyumba,8,7.9
Thiago Almada,10,8.0
Xande Silva,16,6.6
Daniel Rios,19,7.2
Prince Osei Owusu,99,6.0
Lorenzo Insigne,24,8.1
Jahkeele Marshall-Rutty,7,6.4
Deybi Flores,20,6.6
Matthew Longstaff,8,6.7
Derrick Etienne,11,7.0
Federico Bernardeschi,10,7.9
Nickseon Gomis,15,5.9
Kevin Long,5,6.2
Raoul Petretta,28,6.7
Luka Gavran,90,6.8
Bartosz Slisz,6,6.9
Jamal Thiaré,29,7.2
Ronald Hernández,2,6.8
Kosi Thompson,47,6.2
Sigurd Rosted,17,6.0
Kobe Franklin,19,6.0
Maarten Paes,30,7.1
Sebastien Ibeagha,25,7.2
Nkosi Tafari,17,6.9
Marco Farfan,4,7.7
Ema Twumasi,22,7.1
Paul Arriola,7,8.3
Sebastian Lletget,8,7.7
Tsiki Ntsabeleng,16,6.9
Logan Farrington,23,7.4
Bernard Kamungo,77,6.3
Petar Musa,9,7.3
Gyasi Zardes,9,7.5
Jader Obrian,11,5.9
Sebastian Driussi,10,4.7
Ethan Finlay,13,6.0
Daniel Pereira,6,7.8
Owen Wolff,33,6.5
Guilherme,29,6.2
Leo Väisänen,15,6.6
Julio Cascante,18,6.0
Jon Gallagher,17,5.9
Brad Stuver,1,5.7
Carl Sainte,12,6.6
Sam Junqua,29,6.4
Eugene Ansah,31,6.1
Alexander Ring,8,5.9
Jhojan Valencia,5,6.4
CJ Fodrey,19,5.8
Diego Rubio,14,6.7
Steve Clark,12,6.2
Griffin Dorsey,25,7.1
