player_name,player_number,spi_score
Kai Wagner,27,9.1
Leon Flach,31,6.3
Quinn Sullivan,33,6.8
Jack McGlynn,16,7.1
Daniel Gazdag,10,7.2
Mikael Uhre,7,6.5
Tai Baribo,28,6.7
Daniel Rios,19,6.7
Tyler Wolff,28,6.5
Aleksey Miranchuk,59,7.1
Saba Lobzhanidze,9,7.3
Ajani Fortune,35,7.2
Bartosz Slisz,6,7.1
Pedro Amador,18,7.3
Derrick Williams,3,6.7
Stian Gregersen,5,6.6
Brooks Lennon,11,7.5
Brad Guzan,1,7.5
Alejandro Bedoya,11,6.6
Danley Jean Jacques,21,6.5
Samuel Adeniran,9,6.0
Tristan Muyumba,8,6.5
Brad Stuver,1,6.7
Mikkel Desler,3,6.6
Julio Cascante,18,7.0
Brendan Hines-Ike,4,6.6
Guilherme Biro,29,6.5
Alexander Ring,8,7.0
Jhojan Valencia,5,6.1
Osman Bukari,7,6.6
Sebastian Driussi,10,6.8
Jon Gallagher,17,7.1
Gyasi Zardes,9,5.9
Ezequiel Ponce,10,6.6
Ibrahim Aliyu,18,6.9
Amine Bassi,8,6.9
Sebastian Kowalczyk,27,6.7
Artur,6,7.1
Adalberto Carrasquilla,20,8.6
Franco Escobar,2,7.5
Micael,31,7.5
Erik Sviatchenko,28,8.2
Griffin Dorsey,25,6.8
Steve Clark,12,8.3
Oleksandr Svatok,21,6.1
Daniel Pereira,6,7.0
Owen Wolff,33,6.8
Jader Obrian,11,6.9
Diego Rubio,14,6.5
Latif Blessing,15,6.5
Daniel Steres,5,6.4
McKinze Gaines,14,6.0
Pedro Gallese,1,8.2
Dagur Dan Thorhallsson,17,7.9
Rodrigo Adrián Schlegel,15,7.0
Robin Jansson,6,6.9
Rafael Santos,3,8.4
Cesar Araujo,5,7.5
Wilder Cartagena,16,8.1
Facundo Torres,10,8.7
Martin Ojeda,11,6.6
Ivan Angulo,77,7.8
Ramiro Enrique,7,6.6
Giacomo Vrioni,9,5.6
Dylan Borrero,11,6.1
Carles Gil,10,6.4
Luca Langoni,41,6.2
Ian Harkes,14,6.3
Mark-Anthony Kaye,28,6.1
Peyton Miller,25,6.4
Tim Parker,27,6.5
David Romney,2,6.2
Nick Lima,12,6.4
Aljaz Ivacic,31,5.1
Nicolás Lodeiro,14,7.2
Duncan McGuire,13,7.0
Luis Muriel,9,6.2
Felipe,8,6.4
Yutaro Tsukada,34,6.2
Esmir Bajraktarevic,47,6.3
Alhassan Yusuf,80,6.6
Emmanuel Boateng,18,6.2
Xavier Arreaga,3,6.1
Nacho Gil,21,6.1
Alex Bono,24,6.0
Aaron Herrera,22,6.7
Lucas Bartlett,3,6.3
Christopher McVey,97,6.5
Pedro Santos,7,6.2
Martin Rodriguez,14,7.2
Jared Stroud,8,6.2
Mateusz Klich,43,6.9
Theodore Ku-DiPietro,21,6.4
Christian Benteke,20,6.4
Gabriel Pirani,10,6.3
Kerwin Vargas,18,7.5
Patrick Agyemang,33,7.7
Pep Biel,10,8.0
Brandt Bronico,13,8.5
Ashley Westwood,8,7.0
Junior Urso,30,7.5
Tim Ream,3,7.0
Andrew Privett,34,7.2
Adilson Malanda,29,7.1
Nathan Byrne,14,7.6
Kristijan Kahlina,1,8.4
David Schnegg,28,6.8
Cristian Dajome,11,6.4
Boris Enow,5,6.7
Dominique Badji,23,6.3
Matti Peltola,4,6.8
Jere Uronen,21,6.1
Djibril Diani,28,6.4
Liel Abada,11,8.0
Joe Willis,1,6.3
Shaq Moore,18,6.0
Walker Zimmerman,25,6.5
Josh Bauer,22,6.5
Daniel Lovitz,2,6.3
Patrick Yazbek,15,6.0
Brian Anunga,27,6.4
Alex Muyl,19,7.2
Hany Mukhtar,10,7.0
Jacob Shaffelburg,14,6.2
Sam Surridge,9,6.5
Jon Gallagher,17,8.5
Sebastian Driussi,10,7.3
Osman Bukari,7,7.9
Daniel Pereira,6,7.3
Alexander Ring,8,7.9
Owen Wolff,33,6.9
Guilherme,29,7.6
Brendan Hines-Ike,4,6.7
Matt Hedges,2,6.9
Mikkel Desler,3,8.2
Brad Stuver,1,9.2
Jonathan Perez,24,6.1
Amar Sejdic,6,5.1
Teal Bunbury,12,6.5
Kristijan Kahlina,1,5.9
Nathan Byrne,14,6.9
Adilson Malanda,29,6.6
Andrew Privett,34,6.2
