player_name,player_number,spi_score
Tai Baribo,28,8.9
Christian Benteke,20,6.0
Gabriel Pirani,10,5.7
Boris Enow,5,6.1
Mateusz Klich,43,6.1
Jared Stroud,8,6.2
Pedro Santos,7,7.6
Aaron Herrera,22,6.6
Matti Peltola,4,6.0
Christopher McVey,97,5.6
Garrison Tubbs,16,5.6
Alex Bono,24,6.5
Alejandro Bedoya,11,6.6
Danley Jean Jacques,21,6.3
Olivier Mbaizo,15,6.2
Cristian Dajome,11,6.5
Dominique Badji,23,6.0
Theodore Ku-DiPietro,21,6.3
Martin Rodriguez,14,6.5
Drake Callender,1,6.5
David Ruiz,41,8.7
Ryan Sailor,15,6.7
Noah Allen,32,7.3
Franco Negri,33,8.3
Julian Gressel,24,7.4
Tomas Aviles,6,6.5
Lawson Sunderland,43,6.6
Shanyder Borgelin,49,6.9
Leonardo Campana,8,6.3
Leo Afonso,73,8.5
Rafael Navarro,9,7.4
Kévin Cabral,91,7.4
Djordje Mihailovic,10,6.4
Omir Fernandez,11,6.2
Cole Bassett,23,7.5
Oliver Larraz,18,6.6
Samuel Vines,3,6.9
Andreas Maxsø,5,6.2
Moise Bombito,64,6.9
Sebastian Anderson,22,6.3
Zack Steffen,95,6.6
Diego Gomez,20,6.9
Lionel Messi,10,8.3
Sergio Busquets,5,7.1
Marcelo Weigandt,57,6.3
Jordi Alba,18,6.5
Darren Yapi,77,6.5
Calvin Harris,14,6.9
Kimani Stewart,27,5.9
Drake Callender,1,8.5
Tomas Aviles,6,5.6
Sergio Busquets,5,7.8
Hector Martinez,14,7.6
Marcelo Weigandt,57,8.2
Yannick Bright,42,7.7
Federico Redondo,55,7.0
Jordi Alba,18,7.9
Matias Rojas,7,7.1
Luis Suárez,9,9.1
Diego Gomez,20,7.2
Kevin Kelsy,19,6.0
Gerardo Valenzuela,22,6.0
Nicholas Gioacchini,9,5.7
Pavel Bucha,20,7.0
Obinna Nwobodo,5,5.7
Yuya Kubo,7,7.2
Luca Orellano,23,7.1
Miles Robinson,12,6.5
Chidozie Awaziem,6,5.9
DeAndre Yedlin,91,6.6
Roman Celentano,18,5.6
Ian Fray,17,6.9
Benjamin Cremaschi,30,6.2
Ian Murphy,32,6.2
Luciano Acosta,10,6.3
Sergio Santos,17,6.4
Corey Baird,11,6.2
Carlos Miguel,31,7.8
Dylan Nealis,12,8.1
Andres Reyes,4,6.3
Sean Nealis,15,6.4
Cameron Harper,17,6.8
John Tolkin,47,7.6
Daniel Edelman,75,7.4
Felipe Carballo,20,6.6
Emil Forsberg,10,8.6
Dante Vanzeir,13,7.3
Lewis Morgan,9,6.5
Juan Hernández,9,8.0
Diego Rossi,10,7.0
Dylan Chambost,7,7.1
Darlington Nagbe,6,7.6
Sean Zawadzki,25,7.7
DeJuan Jones,12,7.2
Mohamed Farsi,23,6.6
Evgen Cheberko,21,8.4
Rudy Camacho,4,6.3
Steven Moreira,31,6.7
Patrick Schulte,28,8.1
Ronald Donkor,48,6.5
Max Arfsten,27,7.5
Alexandru Matan,20,7.6
Jacen Russell-Rowe,19,6.0
Matt Freese,49,6.3
Tayvon Gray,24,7.0
Thiago Martins,13,7.4
Birk Risa,5,7.5
Kevin O'Toole,22,7.7
Keaton Parks,55,7.1
Justin Haak,80,8.1
Maxi Moralez,27,7.7
Hannes Wolf,17,7.8
Alonso Martinez,16,7.9
Santiago Rodriguez,10,9.2
Sam Surridge,9,6.8
Hany Mukhtar,10,8.4
Alex Muyl,19,5.8
Anibal Godoy,20,6.5
Patrick Yazbek,15,7.0
Jacob Shaffelburg,14,8.0
Daniel Lovitz,2,5.8
Jack Maher,5,5.9
Walker Zimmerman,25,6.1
Shaq Moore,18,5.4
Joe Willis,1,4.9
Andres Perea,8,6.3
Monsef Bakrar,9,5.8
Julian Gaines,29,6.7
Randall Leal,8,6.3
Dru Yearwood,16,5.9
Jonathan Perez,24,6.1
Yohei Takaoka,1,6.6
Javain Brown,23,6.9
Ranko Veselinovic,4,6.9
Tristan Blackmon,6,6.8
Alessandro Schöpf,8,6.4
Andrés Cubas,20,7.1
Pedro Vite,45,8.2
Ryan Raposo,7,8.1
Damir Kreilach,19,6.6
Brian White,24,6.2
Ryan Gauld,25,6.6
Iuri Tavares,38,8.0
Enzo Copetti,9,7.5
Kerwin Vargas,18,7.1
Junior Urso,30,6.6
Ashley Westwood,8,6.8
Brecht Dejaeghere,10,6.8
Jere Uronen,21,7.5
Andrew Privett,34,7.1
Adilson Malanda,29,7.1
Nathan Byrne,14,7.1
Kristijan Kahlina,1,6.7
Fabrice Picault,11,6.5
Sebastian Berhalter,16,5.9
Ali Ahmed,22,6.2
Luis Martins,14,6.1
Patrick Agyemang,33,6.4
Dayne St. Clair,97,6.9
Jefferson Diaz,28,6.4
