player_name,player_number,spi_score
Brendan Hines-Ike,4,6.6
Guilherme Biro,29,6.5
Alexander Ring,8,7.0
Jhojan Valencia,5,6.1
Osman Bukari,7,6.6
Sebastian Driussi,10,6.8
Jon Gallagher,17,7.1
Gyasi Zardes,9,5.9
Ezequiel Ponce,10,6.6
Ibrahim Aliyu,18,6.9
Amine Bassi,8,6.9
Sebastian Kowalczyk,27,6.7
Artur,6,7.1
Adalberto Carrasquilla,20,8.6
Franco Escobar,2,7.5
Micael,31,7.5
Erik Sviatchenko,28,8.2
Griffin Dorsey,25,6.8
Steve Clark,12,8.3
Oleksandr Svatok,21,6.1
Daniel Pereira,6,7.0
Owen Wolff,33,6.8
Jader Obrian,11,6.9
Diego Rubio,14,6.5
Latif Blessing,15,6.5
Daniel Steres,5,6.4
McKinze Gaines,14,6.0
Pedro Gallese,1,7.0
Dagur Dan Thorhallsson,17,6.7
Rodrigo Adrián Schlegel,15,6.1
Robin Jansson,6,6.3
Rafael Santos,3,6.2
Cesar Araujo,5,6.7
Wilder Cartagena,16,6.2
Facundo Torres,10,6.5
Martin Ojeda,11,6.5
Ivan Angulo,77,6.4
Ramiro Enrique,7,6.5
Lewis Morgan,9,7.2
Dante Vanzeir,13,7.2
Emil Forsberg,10,7.6
Peter Stroud,5,7.1
Daniel Edelman,75,7.0
John Tolkin,47,7.7
Cameron Harper,17,7.6
Sean Nealis,15,7.4
Andres Reyes,4,7.7
Dylan Nealis,12,7.6
Carlos Miguel,31,8.1
Duncan McGuire,13,6.2
Luis Muriel,9,6.8
Nicolás Lodeiro,14,6.7
Noah Eile,3,6.4
Wikelman Carmona,19,6.6
Alex Bono,24,6.8
Aaron Herrera,22,7.6
Lucas Bartlett,3,7.6
Christopher McVey,97,7.0
Pedro Santos,7,6.8
Boris Enow,5,6.5
Cristian Dajome,11,6.6
Martin Rodriguez,14,7.0
Gabriel Pirani,10,7.0
Jared Stroud,8,6.6
Christian Benteke,20,7.8
Alonso Martinez,16,6.0
Santiago Rodriguez,10,7.5
Maxi Moralez,27,7.0
Hannes Wolf,17,7.0
Keaton Parks,55,6.7
James Sands,6,6.7
Kevin O'Toole,22,7.4
Thiago Martins,13,7.1
Tayvon Gray,24,7.2
Matt Freese,49,8.5
Theodore Ku-DiPietro,21,6.8
Matti Peltola,4,6.1
Dominique Badji,23,6.2
Christian McFarlane,18,6.6
Monsef Bakrar,9,5.7
Agustin Ojeda,26,6.3
Strahinja Tanasijevic,12,7.1
Jimmy Maurer,1,8.0
Paul Arriola,7,7.2
Sebastien Ibeagha,25,7.4
Marco Farfan,4,7.0
Sam Junqua,29,6.8
Asier Illarramendi,14,8.1
Manuel Cafumana,21,6.8
Bernard Kamungo,77,6.4
Sebastian Lletget,8,7.1
Alan Velasco,20,6.7
Petar Musa,9,7.9
Daniel Salloi,10,6.7
William Agada,23,7.3
Alenis Vargas,20,5.7
Erik Thommy,26,6.8
Nemanja Radoja,6,6.4
Memo Rodriguez,8,7.2
Logan Ndenbe,18,6.6
Robert Voloder,4,6.3
Joaquin Fernández,24,5.5
Tim Leibold,14,5.9
John Pulskamp,1,6.7
Ema Twumasi,22,6.6
Tsiki Ntsabeleng,16,6.4
Jesus Ferreira,10,6.1
Logan Farrington,23,6.1
Zorhan Bassong,22,6.7
Alan Pulido,9,5.9
Stephen Afrifa,30,6.1
Robert Castellanos,19,6.3
Matt Freese,49,6.3
Mitja Ilenic,35,6.2
Thiago Martins,13,7.2
Birk Risa,5,6.8
Kevin O'Toole,22,6.9
Keaton Parks,55,6.8
James Sands,6,7.4
Hannes Wolf,17,6.6
Santiago Rodriguez,10,6.9
Agustin Ojeda,26,6.5
Monsef Bakrar,9,6.5
Rafael Navarro,9,8.2
Darren Yapi,77,7.0
Kévin Cabral,91,7.2
Cole Bassett,23,8.9
Oliver Larraz,18,7.1
Omir Fernandez,11,7.5
Samuel Vines,3,7.1
Andreas Maxsø,5,7.3
Moise Bombito,64,7.6
Keegan Rosenberry,2,7.1
Zack Steffen,95,7.1
Tayvon Gray,24,7.1
Andres Perea,8,6.3
Malachi Jones,88,6.6
Alonso Martinez,16,6.0
Julian Fernandez,11,6.1
Jasper Löffelsend,21,6.6
Calvin Harris,14,7.0
Carlos Miguel,31,6.7
Dylan Nealis,12,7.4
Sean Nealis,15,6.9
Noah Eile,3,5.8
John Tolkin,47,7.5
Dennis Gjengaar,2,6.6
