player_name,player_number,spi_score
Aaron Herrera,22,6.8
Martin Rodriguez,14,7.0
Matti Peltola,4,6.9
Gabriel Pirani,10,5.9
Pedro Santos,7,6.0
Jesus Ferreira,10,6.4
Sam Junqua,29,6.5
Roman Celentano,18,4.3
Alvas Elvis Powell,2,7.0
Miles Robinson,12,6.2
Teenage Lingani Hadebe,16,7.4
DeAndre Yedlin,91,7.1
Yamil Asad,27,7.4
Pavel Bucha,20,6.8
Obinna Nwobodo,5,7.1
Luciano Acosta,10,8.3
Kevin Kelsy,19,5.7
Nicholas Gioacchini,9,6.4
Luis Muriel,9,6.4
Ramiro Enrique,7,9.1
Ivan Angulo,77,8.7
Wilder Cartagena,16,7.3
Cesar Araujo,5,7.5
Facundo Torres,10,7.3
Rafael Santos,3,7.0
Robin Jansson,6,7.2
Rodrigo Adrián Schlegel,15,6.7
Kyle Smith,24,7.5
Pedro Gallese,1,7.3
Yuya Kubo,7,5.8
Ian Murphy,32,6.7
Luca Orellano,23,5.6
Corey Baird,11,6.5
Nicolás Lodeiro,14,6.3
Roman Celentano,18,5.6
Miles Robinson,12,6.6
Chidozie Awaziem,6,6.6
Ian Murphy,32,6.1
DeAndre Yedlin,91,6.4
Luca Orellano,23,8.3
Obinna Nwobodo,5,6.4
Pavel Bucha,20,6.6
Luciano Acosta,10,8.0
Nicholas Gioacchini,9,6.1
Yuya Kubo,7,6.4
Mateusz Bogusz,19,7.3
Kei Ansu Kamara,23,6.7
David Martinez,30,7.8
Omar Campos,2,8.0
Lewis O'Brien,8,8.3
Ilie Sanchez,6,7.2
Cristian Olivera,13,7.7
Eddie Segura,4,7.1
Maxime Chanot,25,6.7
Sergi Palencia,14,7.3
Hugo Lloris,1,7.0
Alvas Elvis Powell,2,7.6
Sergio Santos,17,6.3
Yamil Asad,27,6.2
Kevin Kelsy,19,6.2
Denis Bouanga,99,8.0
Ryan Hollingshead,24,6.4
Timothy Tillman,11,6.2
Olivier Giroud,9,6.9
Marlon,5,6.2
Jimmy Maurer,1,8.0
Paul Arriola,7,7.2
Sebastien Ibeagha,25,7.4
Marco Farfan,4,7.0
Sam Junqua,29,6.8
Asier Illarramendi,14,8.1
Manuel Cafumana,21,6.8
Bernard Kamungo,77,6.4
Sebastian Lletget,8,7.1
Alan Velasco,20,6.7
Petar Musa,9,7.9
Daniel Salloi,10,6.7
William Agada,23,7.3
Alenis Vargas,20,5.7
Erik Thommy,26,6.8
Nemanja Radoja,6,6.4
Memo Rodriguez,8,7.2
Logan Ndenbe,18,6.6
Robert Voloder,4,6.3
Joaquin Fernández,24,5.5
Tim Leibold,14,5.9
John Pulskamp,1,6.7
Ema Twumasi,22,6.6
Tsiki Ntsabeleng,16,6.4
Jesus Ferreira,10,6.1
Logan Farrington,23,6.1
Zorhan Bassong,22,6.7
Alan Pulido,9,5.9
Stephen Afrifa,30,6.1
Robert Castellanos,19,6.3
Carlos Miguel,31,7.1
Kyle Duncan,6,6.0
Sean Nealis,15,5.9
Noah Eile,3,7.3
John Tolkin,47,6.2
Cameron Harper,17,7.6
Ronald Donkor,48,6.7
Daniel Edelman,75,6.8
Lewis Morgan,9,7.2
Dante Vanzeir,13,6.9
Elias Manoel,11,7.9
Mikael Uhre,7,8.6
Tai Baribo,28,8.2
Daniel Gazdag,10,7.3
Jack McGlynn,16,7.9
Alejandro Bedoya,11,6.6
Danley Jean Jacques,21,7.5
Kai Wagner,27,7.2
Jack Elliott,3,7.4
Jakob Glesnes,5,7.8
Olivier Mbaizo,15,6.9
Andre Blake,18,8.0
Dylan Nealis,12,7.0
Felipe Carballo,20,7.1
Cory Burke,7,5.8
Serge Ngoma,22,5.9
Julian Hall,16,6.2
Quinn Sullivan,33,6.6
Samuel Adeniran,9,6.2
Jeremy Rafanello,14,6.2
Leon Flach,31,6.2
John McCarthy,77,6.1
Miki Yamane,2,7.5
Jalen Neal,24,7.5
Maya Yoshida,4,6.9
John Nelson,14,7.2
Marco Reus,18,8.3
Edwin Cerrillo,20,8.2
Ricard Puig,10,9.6
Gabriel Pec,11,8.1
Dejan Joveljic,9,8.9
Diego Fagundez,7,6.8
Denis Bouanga,99,8.0
Olivier Giroud,9,6.3
Mateusz Bogusz,19,7.1
Lewis O'Brien,8,6.2
Ilie Sanchez,6,6.2
Timothy Tillman,11,7.8
Omar Campos,2,5.6
Aaron Long,33,5.4
Eddie Segura,4,5.8
Ryan Hollingshead,24,4.9
Hugo Lloris,1,6.6
Miguel Berry,27,6.3
Maxime Chanot,25,6.6
Kei Ansu Kamara,23,6.4
John McCarthy,77,8.1
Miki Yamane,2,7.5
Carlos Garces,25,7.5
Maya Yoshida,4,7.6
John Nelson,14,7.8
Marco Reus,18,6.4
Edwin Cerrillo,20,7.5
Ricard Puig,10,8.1
Gabriel Pec,11,7.4
Dejan Joveljic,9,7.8
Joseph Paintsil,28,7.0
Jordan Morris,13,6.6
Georgi Minoungou,93,7.1
Albert Rusnak,11,6.9
Pedro De la Vega,10,6.4
Cristian Roldan,7,7.4
Obed Vargas,18,7.0
Nouhou Tolo,5,7.7
Jackson Ragen,25,6.9
Nathan,4,6.8
Alex Roldan,16,6.6
Stefan Frei,24,7.0
Marco Delgado,8,6.5
Joao Paulo,6,6.2
Nicholas Hagen,1,6.8
Steven Moreira,31,6.8
Rudy Camacho,4,6.9
Malte Amundsen,18,7.5
Mohamed Farsi,23,7.8
Max Arfsten,27,7.3
Sean Zawadzki,25,7.2
Darlington Nagbe,6,7.2
Christian Ramirez,17,6.3
Diego Rossi,10,7.7
Juan Hernández,9,9.3
Denis Bouanga,99,6.7
Olivier Giroud,9,7.1
Mateusz Bogusz,19,7.3
Ryan Hollingshead,24,6.5
Eduard Atuesta,20,6.4
Ilie Sanchez,6,6.1
Sergi Palencia,14,6.8
Aaron Long,33,5.6
Maxime Chanot,25,6.1
Jesus Murillo,3,6.5
Hugo Lloris,1,5.4
Jacen Russell-Rowe,19,7.3
Evgen Cheberko,21,6.5
Lewis O'Brien,8,6.4
Eddie Segura,4,6.5
Timothy Tillman,11,6.5
Cristian Olivera,13,5.7
Kei Ansu Kamara,23,5.8
Sean Johnson,1,6.1
Shane O'Neill,27,7.0
Sigurd Rosted,17,6.2
Nicksoen Gomis,15,6.7
Kobe Franklin,19,6.7
Richie Laryea,22,7.1
Matthew Longstaff,8,6.9
Alonso Coello,14,7.3
Jonathan Osorio,21,6.9
Derrick Etienne,11,6.9
Deandre Kerr,29,6.3
Robert Taylor,16,6.7
Leonardo Campana,8,8.1
Matias Rojas,7,6.5
Benjamin Cremaschi,30,6.4
David Ruiz,41,6.8
Julian Gressel,24,6.9
Franco Negri,33,7.3
Serhiy Kryvtsov,27,7.2
Tomas Aviles,6,6.9
Noah Allen,32,7.6
Oscar Ustari,19,8.6
Prince Osei Owusu,99,6.7
Henry Wingo,30,6.1
Raoul Petretta,28,6.6
Tyrese Spicer,16,6.2
Brandon Servania,23,6.6
Lorenzo Insigne,24,6.1
Sergio Busquets,5,7.1
Lionel Messi,10,6.7
Yannick Bright,42,6.0
Luis Suárez,9,6.7
Diego Gomez,20,5.9
Aljaz Ivacic,31,6.9
Nick Lima,12,6.3
David Romney,2,6.6
Xavier Arreaga,3,6.9
DeJuan Jones,24,6.6
Noel Buck,29,7.7
Ian Harkes,14,6.8
Esmir Bajraktarevic,47,8.2
Carles Gil,10,8.1
Dylan Borrero,11,8.2
Giacomo Vrioni,9,7.7
Damir Kreilach,19,6.2
Brian White,24,6.5
Ryan Gauld,25,8.9
Sebastian Berhalter,16,6.8
Pedro Vite,45,7.5
Luis Martins,14,5.9
Ryan Raposo,7,7.0
Bjørn Inge Utvik,15,6.1
Ranko Veselinovic,4,6.0
Javain Brown,23,7.3
Yohei Takaoka,1,5.3
Andrew Farrell,88,6.5
Fabrice Picault,11,6.1
Giuseppe Bovalina,27,6.4
Levonte Johnson,28,5.9
Brad Stuver,1,7.5
Jon Gallagher,17,6.7
Julio Cascante,18,7.8
Brendan Hines-Ike,4,5.1
Guilherme,29,6.7
Daniel Pereira,6,6.2
Alexander Ring,8,6.6
Owen Wolff,33,6.1
Sebastian Driussi,10,7.3
Jader Obrian,11,5.7
Gyasi Zardes,9,5.3
Danny Musovski,17,6.1
Leo Chu,23,6.8
Pedro De la Vega,10,6.0
Paul Rothrock,14,7.7
Joao Paulo,6,7.8
Obed Vargas,18,7.8
Nouhou Tolo,5,7.3
Jackson Ragen,25,7.0
Yeimar Gomez,28,7.5
Alex Roldan,16,7.4
Stefan Frei,24,8.1
Jhojan Valencia,5,6.2
Diego Rubio,14,6.4
Albert Rusnak,11,6.8
Jordan Morris,13,7.5
Reed Baker-Whiting,21,6.2
Yohei Takaoka,1,5.8
Mathias Laborda,2,6.1
Ranko Veselinovic,4,5.6
Tristan Blackmon,6,6.4
Sebastian Berhalter,16,7.1
Pedro Vite,45,7.3
Andrés Cubas,20,5.9
Alessandro Schöpf,8,5.9
Sam Adekugbe,3,6.8
Brian White,24,6.4
Fabrice Picault,11,4.6
Jordan Morris,13,8.0
Paul Rothrock,14,8.0
Albert Rusnak,11,8.8
Georgi Minoungou,93,8.0
Obed Vargas,18,7.3
Cristian Roldan,7,7.2
Nouhou Tolo,5,8.0
Jackson Ragen,25,7.2
Yeimar Gomez,28,7.6
Alex Roldan,16,7.6
Stefan Frei,24,7.5
Levonte Johnson,28,6.0
Bjørn Inge Utvik,15,6.1
Ralph Priso-Mbongue,13,6.4
Edier Ocampo,18,6.1
Deiber Caicedo,23,6.2
Reed Baker-Whiting,21,6.0
Joshua Atencio,8,6.0
Danny Musovski,17,6.1
Pedro De la Vega,10,5.8
Yohei Takaoka,1,5.8
Mathias Laborda,2,6.1
Ranko Veselinovic,4,5.6
Tristan Blackmon,6,6.4
Sebastian Berhalter,16,7.1
Pedro Vite,45,7.3
Andrés Cubas,20,5.9
Alessandro Schöpf,8,5.9
Sam Adekugbe,3,6.8
Brian White,24,6.4
Fabrice Picault,11,4.6
Jordan Morris,13,8.0
Paul Rothrock,14,8.0
Albert Rusnak,11,8.8
Georgi Minoungou,93,8.0
Obed Vargas,18,7.3
Cristian Roldan,7,7.2
Nouhou Tolo,5,8.0
Jackson Ragen,25,7.2
Yeimar Gomez,28,7.6
Alex Roldan,16,7.6
Stefan Frei,24,7.5
Levonte Johnson,28,6.0
Bjørn Inge Utvik,15,6.1
Ralph Priso-Mbongue,13,6.4
Edier Ocampo,18,6.1
Deiber Caicedo,23,6.2
Reed Baker-Whiting,21,6.0
Joshua Atencio,8,6.0
Danny Musovski,17,6.1
Pedro De la Vega,10,5.8
Yohei Takaoka,1,7.8
Bjørn Inge Utvik,15,7.0
Ranko Veselinovic,4,7.2
Tristan Blackmon,6,7.9
Ali Ahmed,22,7.0
Pedro Vite,45,8.3
Ralph Priso-Mbongue,13,6.6
Alessandro Schöpf,8,7.1
Sam Adekugbe,3,7.1
Fabrice Picault,11,8.6
Ryan Gauld,25,9.1
Hernan Lopez,23,5.8
Preston Judd,19,5.8
Cristian Espinoza,10,6.5
Paul Marie,3,6.3
Jackson Yueill,14,6.4
Niko Tsakiris,30,6.4
Benjamin Kikanovic,28,6.4
Tanner Beason,15,6.9
Rodrigues,26,6.5
Carlos Akapo,29,6.4
Daniel,42,8.4
Sebastian Berhalter,16,6.4
Mathias Laborda,2,7.0
Edier Ocampo,18,6.7
Vitor Costa,94,6.6
Ousseni Bouda,17,5.7
Alfredo Morales,6,6.2
Amahl Pellegrino,9,6.0
John Pulskamp,1,6.8
Khiry Shelton,11,7.8
Robert Castellanos,19,6.8
Andreu Fontàs,3,7.2
Logan Ndenbe,18,7.8
Memo Rodriguez,8,7.5
Zorhan Bassong,22,7.8
Johnny Russell,7,7.7
Alan Pulido,9,9.2
Stephen Afrifa,30,8.5
William Agada,23,7.9
Rafael Navarro,9,6.4
Jonathan Lewis,7,6.4
Djordje Mihailovic,10,7.2
Calvin Harris,14,5.8
Cole Bassett,23,4.9
Connor Ronan,20,5.7
Jackson Travis,99,5.2
Michael Edwards,34,6.5
Andreas Maxsø,5,5.1
Keegan Rosenberry,2,6.2
Zack Steffen,95,6.0
Tim Leibold,14,6.4
Erik Thommy,26,8.9
Daniel Salloi,10,7.3
Rémi Walter,54,6.5
Oliver Larraz,18,6.1
Omir Fernandez,11,6.2
Jasper Löffelsend,21,6.4
Kimani Stewart,27,6.0
