player_name,player_number,spi_score
Brendan Hines-Ike,4,6.6
Guilherme Biro,29,6.5
Alexander Ring,8,7.0
Jhojan Valencia,5,6.1
Osman Bukari,7,6.6
Sebastian Driussi,10,6.8
Jon Gallagher,17,7.1
Gyasi Zardes,9,5.9
Ezequiel Ponce,10,6.6
Ibrahim Aliyu,18,6.9
Amine Bassi,8,6.9
Sebastian Kowalczyk,27,6.7
Artur,6,7.1
Adalberto Carrasquilla,20,8.6
Franco Escobar,2,7.5
Micael,31,7.5
Erik Sviatchenko,28,8.2
Griffin Dorsey,25,6.8
Steve Clark,12,8.3
Oleksandr Svatok,21,6.1
Daniel Pereira,6,7.0
Owen Wolff,33,6.8
Jader Obrian,11,6.9
Diego Rubio,14,6.5
Latif Blessing,15,6.5
Daniel Steres,5,6.4
McKinze Gaines,14,6.0
Brad Stuver,1,6.8
Mikkel Desler,3,7.1
Julio Cascante,18,7.5
Brendan Hines-Ike,4,6.4
Guilherme Biro,29,7.9
Osman Bukari,7,6.7
Owen Wolff,33,5.9
Alexander Ring,8,7.2
Jon Gallagher,17,7.4
Jader Obrian,11,7.8
Sebastian Driussi,10,8.1
Cristian Arango,9,7.1
Diego Luna,8,6.5
Matt Crooks,25,8.0
Dominik Marczuk,11,7.4
Braian Ojeda,6,7.9
Emeka Eneli,14,7.4
Andrew Brody,2,6.0
Brayan Vera,4,6.4
Justen Glad,15,6.6
Philip Quinton,26,6.7
Zac MacMath,18,7.0
Daniel Pereira,6,6.7
Diego Rubio,14,5.9
Ethan Finlay,13,6.2
Diogo Goncalves,10,7.6
Anderson Julio,29,6.8
Lachlan Brook,17,6.4
Maikel Chang Ramirez,16,6.0
Pedro Gallese,1,8.2
Dagur Dan Thorhallsson,17,7.9
Rodrigo Adrián Schlegel,15,7.0
Robin Jansson,6,6.9
Rafael Santos,3,8.4
Cesar Araujo,5,7.5
Wilder Cartagena,16,8.1
Facundo Torres,10,8.7
Martin Ojeda,11,6.6
Ivan Angulo,77,7.8
Ramiro Enrique,7,6.6
Giacomo Vrioni,9,5.6
Dylan Borrero,11,6.1
Carles Gil,10,6.4
Luca Langoni,41,6.2
Ian Harkes,14,6.3
Mark-Anthony Kaye,28,6.1
Peyton Miller,25,6.4
Tim Parker,27,6.5
David Romney,2,6.2
Nick Lima,12,6.4
Aljaz Ivacic,31,5.1
Nicolás Lodeiro,14,7.2
Duncan McGuire,13,7.0
Luis Muriel,9,6.2
Felipe,8,6.4
Yutaro Tsukada,34,6.2
Esmir Bajraktarevic,47,6.3
Alhassan Yusuf,80,6.6
Emmanuel Boateng,18,6.2
Xavier Arreaga,3,6.1
Nacho Gil,21,6.1
John McCarthy,77,7.0
Miki Yamane,2,6.9
Carlos Garces,25,7.1
Maya Yoshida,4,7.2
John Nelson,14,7.3
Marco Delgado,8,7.1
Gaston Brugman,5,7.3
Ricard Puig,10,9.3
Gabriel Pec,11,8.3
Dejan Joveljic,9,7.7
Joseph Paintsil,28,7.3
Jon Gallagher,17,6.2
Diego Rubio,14,6.3
Jader Obrian,11,6.1
Sebastian Driussi,10,8.8
Jhojan Valencia,5,6.1
Daniel Pereira,6,6.2
Guilherme Biro,29,5.8
Julio Cascante,18,6.1
Oleksandr Svatok,21,6.2
Brendan Hines-Ike,4,5.8
Brad Stuver,1,5.4
Edwin Cerrillo,20,6.1
Osman Bukari,7,7.4
Alexander Ring,8,6.5
Pedro Gallese,1,6.9
Dagur Dan Thorhallsson,17,7.2
Rodrigo Adrián Schlegel,15,7.1
Robin Jansson,6,7.2
Rafael Santos,3,7.6
Cesar Araujo,5,7.6
Wilder Cartagena,16,7.3
Facundo Torres,10,7.3
Martin Ojeda,11,6.7
Ivan Angulo,77,7.4
Ramiro Enrique,7,7.7
Jamal Thiaré,29,5.9
Aleksey Miranchuk,59,6.3
Pedro Amador,18,7.0
Ajani Fortune,35,6.5
Dax McCarty,13,6.4
Bartosz Slisz,6,7.2
Saba Lobzhanidze,9,6.4
Luis Abram,4,6.7
Derrick Williams,3,7.0
Stian Gregersen,5,6.9
Brad Guzan,1,6.4
Duncan McGuire,13,6.2
Luis Muriel,9,6.1
Kyle Smith,24,6.3
Nicolás Lodeiro,14,6.1
Ronald Hernández,2,7.0
Xande Silva,16,6.0
Tristan Muyumba,8,6.5
Mason Stajduhar,31,6.1
Dagur Dan Thorhallsson,17,6.8
