player_name,player_number,spi_score
Miguel Berry,27,6.4
Aleksey Miranchuk,59,6.5
Daniel Rios,19,6.3
Edwin Mosquera,20,5.9
Roman Bürki,1,8.6
Tomas Totland,14,7.6
Henry Kessler,5,7.7
Joakim Nilsson,4,7.1
Jannes-Kilian Horn,38,7.3
Cedric Teuchert,36,7.4
Akil Watts,20,7.0
Eduard Löwen,10,6.8
Marcel Hartel,17,8.6
Simon Becher,11,8.8
Joao Klauss,9,6.9
Ezequiel Ponce,10,6.0
Ibrahim Aliyu,18,6.6
Sebastian Kowalczyk,27,6.6
Adalberto Carrasquilla,20,6.4
Artur,6,6.9
Brooklyn Raines,35,7.4
Franco Escobar,2,5.8
Ethan Bartlow,4,6.4
Erik Sviatchenko,28,5.4
Griffin Dorsey,25,5.7
Steve Clark,12,4.8
Nökkvi Thorisson,29,6.3
Rasmus Alm,21,6.2
McKinze Gaines,14,6.4
Carlos Ferreira,11,6.3
Latif Blessing,15,6.2
Carlos Miguel,31,7.8
Dylan Nealis,12,8.1
Andres Reyes,4,6.3
Sean Nealis,15,6.4
Cameron Harper,17,6.8
John Tolkin,47,7.6
Daniel Edelman,75,7.4
Felipe Carballo,20,6.6
Emil Forsberg,10,8.6
Dante Vanzeir,13,7.3
Lewis Morgan,9,6.5
Juan Hernández,9,8.0
Diego Rossi,10,7.0
Dylan Chambost,7,7.1
Darlington Nagbe,6,7.6
Sean Zawadzki,25,7.7
DeJuan Jones,12,7.2
Mohamed Farsi,23,6.6
Evgen Cheberko,21,8.4
Rudy Camacho,4,6.3
Steven Moreira,31,6.7
Patrick Schulte,28,8.1
Ronald Donkor,48,6.5
Max Arfsten,27,7.5
Alexandru Matan,20,7.6
Jacen Russell-Rowe,19,6.0
Brad Guzan,1,6.3
Brooks Lennon,11,7.3
Stian Gregersen,5,9.0
Derrick Williams,3,6.9
Ronald Hernández,2,7.2
Bartosz Slisz,6,6.5
Ajani Fortune,35,7.3
Tristan Muyumba,8,6.9
Saba Lobzhanidze,9,8.8
Jamal Thiaré,29,6.7
Xande Silva,16,7.3
Juan Hernández,9,7.2
Diego Rossi,10,7.5
Christian Ramirez,17,6.1
Alexandru Matan,20,7.4
Sean Zawadzki,25,7.8
Max Arfsten,27,7.2
Mohamed Farsi,23,6.9
Evgen Cheberko,21,6.7
Rudy Camacho,4,6.5
Steven Moreira,31,6.8
Nicholas Hagen,1,6.0
Daniel Rios,19,6.2
Malte Amundsen,18,6.8
Jacen Russell-Rowe,19,6.2
Chris Brady,34,5.8
Arnaud Souquet,2,5.6
Carlos Teran,4,6.6
Rafael Czichos,5,5.8
Allan Arigoni,27,5.8
Kellyn Acosta,23,5.8
Federico Navarro,31,4.9
Chris Mueller,8,6.5
Xherdan Shaqiri,10,6.0
Fabian Herbers,21,6.4
Hugo Cuypers,9,6.4
Cristian Arango,9,9.4
Fidel Barajas,17,7.1
Matt Crooks,25,7.7
Andres Gomez,11,7.8
Braian Ojeda,6,7.8
Emeka Eneli,14,7.5
Alexandros Katranis,98,8.0
Bryan Oviedo,3,8.2
Bode Hidalgo,19,7.8
Andrew Brody,2,7.4
Gavin Beavers,35,7.8
Georgios Koutsias,19,6.3
Gaston Claudio Gimenez,30,6.3
Tom Barlow,12,6.1
Diego Luna,8,7.3
Nelson Palacio,13,6.3
Philip Quinton,26,6.2
Roman Celentano,18,8.2
DeAndre Yedlin,91,7.0
Chidozie Awaziem,6,7.7
Alvas Elvis Powell,2,7.4
Luca Orellano,23,7.3
Yuya Kubo,7,6.9
Pavel Bucha,20,6.8
Obinna Nwobodo,5,6.7
Nicholas Gioacchini,9,6.3
Luciano Acosta,10,6.6
Kevin Kelsy,19,6.5
Juan Hernández,9,6.5
Diego Rossi,10,6.5
Christian Ramirez,17,7.2
Darlington Nagbe,6,7.2
Alexandru Matan,20,7.6
Max Arfsten,27,7.1
Mohamed Farsi,23,7.2
Sean Zawadzki,25,6.8
Rudy Camacho,4,7.5
Steven Moreira,31,6.9
Patrick Schulte,28,7.1
Sergio Santos,17,5.9
Maxime Crepeau,16,5.9
Juan Mosquera,29,6.0
Miguel Araujo,2,5.4
Dario Zuparic,13,7.0
Claudio Bravo,5,6.9
David Ayala,24,7.5
Diego Chara,21,6.4
Santiago Moreno,30,7.8
Evander Ferreira,10,9.0
Jonathan Rodriguez,14,7.8
Felipe Mora,9,8.3
Simon Becher,11,7.7
Marcel Hartel,17,8.9
Cedric Teuchert,36,8.4
Nökkvi Thorisson,29,7.7
Eduard Löwen,10,8.3
Christopher Durkin,8,7.3
Jayden Reid,99,6.1
Kyle Hiebert,22,6.0
Henry Kessler,5,6.4
Tomas Totland,14,5.5
Roman Bürki,1,5.0
Eryk Williamson,19,6.4
Antony,11,6.5
Indiana Vassilev,19,5.9
Jannes-Kilian Horn,38,6.8
Hosei Kijima,85,6.3
Pedro Gallese,1,7.7
Dagur Dan Thorhallsson,17,7.2
Rodrigo Adrián Schlegel,15,6.8
Robin Jansson,6,6.8
Rafael Santos,3,7.9
Cesar Araujo,5,6.7
Wilder Cartagena,16,6.8
Facundo Torres,10,8.1
Martin Ojeda,11,6.9
Ivan Angulo,77,6.7
Ramiro Enrique,7,6.5
Kerwin Vargas,18,7.2
Patrick Agyemang,33,6.8
Pep Biel,10,7.1
Brandt Bronico,13,6.4
Ashley Westwood,8,6.2
Djibril Diani,28,6.8
Tim Ream,3,7.2
Andrew Privett,34,6.5
Adilson Malanda,29,7.0
Nathan Byrne,14,7.3
Kristijan Kahlina,1,8.6
Duncan McGuire,13,6.6
Luis Muriel,9,7.1
Kyle Smith,24,5.7
Nicolás Lodeiro,14,6.3
Karol Swiderski,9,7.3
Liel Abada,11,7.1
Drake Callender,1,5.0
Marcelo Weigandt,57,6.7
Tomas Aviles,6,6.3
Hector Martinez,14,7.7
Jordi Alba,18,8.8
Yannick Bright,42,8.3
Sergio Busquets,5,6.8
Benjamin Cremaschi,30,8.5
Julian Gressel,24,7.5
Luis Suárez,9,9.7
Robert Taylor,16,7.6
Giacomo Vrioni,9,6.0
Esmir Bajraktarevic,47,6.2
Dylan Borrero,11,7.6
Luca Langoni,41,7.8
Matt Polster,8,4.8
Alhassan Yusuf,80,5.8
Will Sands,23,4.2
David Romney,2,4.7
Xavier Arreaga,3,5.5
Brandon Bye,15,5.3
Aljaz Ivacic,31,5.0
Diego Gomez,20,6.8
Lionel Messi,10,9.6
Bobby Wood,17,5.8
Hugo Lloris,1,7.0
Eddie Segura,4,6.6
Maxime Chanot,25,6.9
Aaron Long,33,6.9
Sergi Palencia,14,7.7
Lewis O'Brien,8,8.1
Timothy Tillman,11,7.6
Omar Campos,2,6.6
Mateusz Bogusz,19,7.7
Olivier Giroud,9,7.1
Denis Bouanga,99,8.7
Jeremy Ebobisse,11,6.9
Paul Marie,3,7.6
Hernan Lopez,23,6.8
Cristian Espinoza,10,7.3
Carlos Gruezo,7,5.3
Jackson Yueill,14,7.4
Vitor Costa,94,6.0
Rodrigues,26,6.3
Bruno Wilson,4,5.5
Carlos Akapo,29,6.7
Daniel,42,5.4
Ryan Hollingshead,24,6.3
David Martinez,30,6.5
Kei Ansu Kamara,23,7.1
Eduard Atuesta,20,8.1
