player_name,player_number,spi_score
Stefan Frei,24,8.0
Alex Roldan,16,7.1
Yeimar Gomez,28,8.0
Jackson Ragen,25,7.9
Reed Baker-Whiting,21,6.9
Cristian Roldan,7,8.3
Obed Vargas,18,7.7
Paul Rothrock,14,8.4
Albert Rusnak,11,7.4
Georgi Minoungou,93,6.9
Jordan Morris,13,8.0
Alan Pulido,9,6.9
Daniel Salloi,10,6.3
Erik Thommy,26,6.9
Johnny Russell,7,6.7
Zorhan Bassong,22,5.6
Rémi Walter,54,6.4
Tim Leibold,14,6.8
Robert Voloder,4,6.9
Daniel Rosero,5,6.6
Khiry Shelton,11,5.7
Tim Melia,29,7.2
Jon Bell,15,6.2
Pedro De la Vega,10,6.4
Joshua Atencio,8,6.3
Memo Rodriguez,8,6.7
Stephen Afrifa,30,5.9
William Agada,23,5.7
Alenis Vargas,20,6.2
Sean Johnson,1,5.5
Richie Laryea,22,6.5
Sigurd Rosted,17,6.7
Raoul Petretta,28,5.1
Federico Bernardeschi,10,7.1
Lorenzo Insigne,24,6.1
Matthew Longstaff,8,6.0
Alonso Coello,14,7.3
Jonathan Osorio,21,6.1
Derrick Etienne,11,6.7
Deandre Kerr,29,6.2
Jacen Russell-Rowe,19,7.2
Diego Rossi,10,6.0
Dylan Chambost,7,7.2
DeJuan Jones,12,6.5
Sean Zawadzki,25,7.4
Derrick Jones,5,6.5
Marcelo Herrera,2,8.2
Malte Amundsen,18,7.2
Rudy Camacho,4,7.7
Evgen Cheberko,21,7.2
Patrick Schulte,28,8.1
Tyrese Spicer,16,6.6
Kosi Thompson,47,6.2
Juan Hernández,9,8.3
Max Arfsten,27,6.8
Aziel Jackson,13,6.4
Jimmy Maurer,1,8.0
Paul Arriola,7,7.2
Sebastien Ibeagha,25,7.4
Marco Farfan,4,7.0
Sam Junqua,29,6.8
Asier Illarramendi,14,8.1
Manuel Cafumana,21,6.8
Bernard Kamungo,77,6.4
Sebastian Lletget,8,7.1
Alan Velasco,20,6.7
