player_name,player_number,spi_score
Nathan Byrne,14,7.3
Kristijan Kahlina,1,8.6
Duncan McGuire,13,6.6
Luis Muriel,9,7.1
Kyle Smith,24,5.7
Nicolás Lodeiro,14,6.3
Karol Swiderski,9,7.3
Liel Abada,11,7.1
Drake Callender,1,7.8
Marcelo Weigandt,57,7.8
Tomas Aviles,6,7.2
Nicolas Freire,21,7.5
Jordi Alba,18,8.0
Julian Gressel,24,6.6
Sergio Busquets,5,8.2
Benjamin Cremaschi,30,6.7
Lionel Messi,10,6.3
Luis Suárez,9,7.2
Matias Rojas,7,7.0
Theodore Ku-DiPietro,21,7.4
Christian Benteke,20,5.8
Mateusz Klich,43,7.1
Jackson Hopkins,25,6.7
Jared Stroud,8,7.3
Pedro Santos,7,7.2
Aaron Herrera,22,6.7
Lucas Bartlett,3,6.6
Steven Birnbaum,15,6.5
Christopher McVey,97,6.5
Alex Bono,24,5.9
Robert Taylor,16,6.4
Serhiy Kryvtsov,27,6.3
Matti Peltola,4,6.9
Cristian Dajome,11,6.1
Garrison Tubbs,16,6.4
Jacob Murrell,17,6.1
Dayne St. Clair,97,5.1
Carlos Harvey,67,5.7
Michael Boxall,15,5.3
Miguel Tapias,4,5.5
Caden Clark,37,6.5
Devin Padelford,2,7.0
Bongokuhle Hlongwane,21,6.5
Hassani Dotson,31,7.4
Robin Lod,17,8.1
Sang-Bin Jeong,11,6.0
Tani Oluwaseyi,14,6.5
Christian Benteke,20,9.4
Theodore Ku-DiPietro,21,6.4
Jared Stroud,8,6.4
Martin Rodriguez,14,7.1
Mateusz Klich,43,7.2
Pedro Santos,7,8.3
Cristian Dajome,11,7.8
Christopher McVey,97,6.9
Matti Peltola,4,6.9
Aaron Herrera,22,8.2
Alex Bono,24,6.1
Joseph Rosales,8,6.2
Franco Fragapane,7,5.9
Teemu Pukki,22,6.9
Lucas Bartlett,3,7.8
Gabriel Pirani,10,6.2
Jackson Hopkins,25,6.4
Hugo Lloris,1,7.2
Ryan Hollingshead,24,7.8
Maxime Chanot,25,7.5
