player_name,player_number,spi_score
Lewis Morgan,9,7.1
Dante Vanzeir,13,6.7
Emil Forsberg,10,7.7
Frankie Amaya,8,7.2
Daniel Edelman,75,7.2
Wikelman Carmona,19,6.6
John Tolkin,47,6.8
Noah Eile,3,6.9
Sean Nealis,15,6.4
Dylan Nealis,12,7.8
Carlos Miguel,31,7.4
Eddie Segura,4,5.1
Nathan Ordaz,27,6.0
Dennis Gjengaar,2,6.3
Elias Manoel,11,6.7
Roman Bürki,1,6.0
Tomas Totland,14,6.7
Joshua Yaro,15,7.3
Joakim Nilsson,4,7.1
Nikolas Dyhr,44,5.7
Indiana Vassilev,19,6.8
Christopher Durkin,8,7.1
Tomas Ostrak,7,6.7
Aziel Jackson,25,7.1
Joao Klauss,9,8.4
Samuel Adeniran,16,6.2
Christian Benteke,20,8.6
Cristian Dajome,11,6.8
Gabriel Pirani,10,6.6
Theodore Ku-DiPietro,21,7.7
Mateusz Klich,43,6.6
Jackson Hopkins,25,6.6
Christopher McVey,97,6.8
Lucas Bartlett,3,7.4
Conner Antley,12,6.5
Jared Stroud,8,7.8
Alexander Bono,24,6.9
Anthony Markanich,13,6.4
Celio Pompeu,12,7.5
Rasmus Alm,21,6.2
Njabulo Blom,6,6.4
Nökkvi Thorisson,29,6.1
Jacob Murrell,17,5.7
Roman Celentano,18,8.5
Chidozie Awaziem,6,6.9
Miles Robinson,12,7.5
Teenage Lingani Hadebe,16,7.6
DeAndre Yedlin,91,6.6
Yamil Asad,27,7.7
Pavel Bucha,20,6.9
Obinna Nwobodo,5,7.8
Luciano Acosta,10,6.9
Luca Orellano,23,7.6
Yuya Kubo,7,6.1
Alonso Martinez,16,5.8
Santiago Rodriguez,10,6.3
Maxi Moralez,27,7.0
Hannes Wolf,17,6.7
James Sands,6,7.6
Keaton Parks,55,6.9
Kevin O'Toole,22,7.6
Justin Haak,80,6.7
Thiago Martins,13,7.3
Mitja Ilenic,35,6.5
Matt Freese,49,9.1
Sergio Santos,17,6.5
Andres Perea,8,6.1
Chris Brady,34,6.3
Arnaud Souquet,2,6.2
Mauricio Pineda,22,6.4
Tobias Salquist,14,5.5
Jonathan Dean,24,6.3
Federico Navarro,31,6.6
Kellyn Acosta,23,6.0
Maren Haile-Selassie,7,6.5
Brian Gutierrez,17,6.3
Chris Mueller,8,6.4
Hugo Cuypers,9,7.0
Sam Surridge,9,8.4
Alex Muyl,19,8.2
Hany Mukhtar,10,7.3
Jonathan Perez,24,6.7
Brian Anunga,27,7.0
Sean Davis,54,6.9
Taylor Washington,23,8.1
Josh Bauer,22,6.9
Walker Zimmerman,25,7.5
Julian Gaines,29,8.2
Elliot Panicco,30,8.9
Rafael Czichos,5,6.6
Gaston Claudio Gimenez,30,6.9
Justin Reynolds,36,6.2
Georgios Koutsias,19,6.2
Anibal Godoy,20,8.1
Patrick Yazbek,15,6.7
Jacob Shaffelburg,14,7.5
Brad Stuver,1,6.8
Mikkel Desler,3,7.1
Julio Cascante,18,7.5
Brendan Hines-Ike,4,6.4
Guilherme Biro,29,7.9
Osman Bukari,7,6.7
Owen Wolff,33,5.9
Alexander Ring,8,7.2
Jon Gallagher,17,7.4
Jader Obrian,11,7.8
Sebastian Driussi,10,8.1
Cristian Arango,9,7.1
Diego Luna,8,6.5
Matt Crooks,25,8.0
Dominik Marczuk,11,7.4
Braian Ojeda,6,7.9
Emeka Eneli,14,7.4
Andrew Brody,2,6.0
Brayan Vera,4,6.4
Justen Glad,15,6.6
Philip Quinton,26,6.7
Zac MacMath,18,7.0
Daniel Pereira,6,6.7
Diego Rubio,14,5.9
Ethan Finlay,13,6.2
Diogo Goncalves,10,7.6
Anderson Julio,29,6.8
Lachlan Brook,17,6.4
Maikel Chang Ramirez,16,6.0
Dayne St. Clair,97,7.5
Carlos Harvey,67,7.5
Michael Boxall,15,7.2
Jefferson Diaz,28,7.5
Joseph Rosales,8,7.6
Hassani Dotson,31,8.3
Robin Lod,17,7.8
Wil Trapp,20,7.0
Bongokuhle Hlongwane,21,7.3
Kelvin Yeboah,9,9.0
Joaquin Pereyra,26,7.3
Rafael Navarro,9,6.5
Omir Fernandez,11,6.0
Djordje Mihailovic,10,6.6
Darren Yapi,77,6.5
Connor Ronan,20,6.3
Oliver Larraz,18,6.7
Reggie Cannon,4,5.8
Andreas Maxsø,5,5.8
Lalas Abubakar,6,6.4
Keegan Rosenberry,2,5.7
Zack Steffen,95,5.5
Sang-Bin Jeong,11,7.5
Franco Fragapane,7,6.0
Tani Oluwaseyi,14,6.1
Calvin Harris,14,6.6
Jackson Travis,99,6.2
Jasper Löffelsend,21,6.4
Jonathan Lewis,7,5.9
Matt Freese,49,6.3
Tayvon Gray,24,7.0
Thiago Martins,13,7.4
Birk Risa,5,7.5
Kevin O'Toole,22,7.7
Keaton Parks,55,7.1
Justin Haak,80,8.1
Maxi Moralez,27,7.7
Hannes Wolf,17,7.8
Alonso Martinez,16,7.9
Santiago Rodriguez,10,9.2
Sam Surridge,9,6.8
Hany Mukhtar,10,8.4
Alex Muyl,19,5.8
Anibal Godoy,20,6.5
Patrick Yazbek,15,7.0
Jacob Shaffelburg,14,8.0
Daniel Lovitz,2,5.8
Jack Maher,5,5.9
Walker Zimmerman,25,6.1
Shaq Moore,18,5.4
Joe Willis,1,4.9
Andres Perea,8,6.3
Monsef Bakrar,9,5.8
Julian Gaines,29,6.7
Randall Leal,8,6.3
Dru Yearwood,16,5.9
Jonathan Perez,24,6.1
Zack Steffen,95,4.6
Reggie Cannon,4,5.9
Andreas Maxsø,5,6.2
Lalas Abubakar,6,6.5
Keegan Rosenberry,2,6.3
Samuel Vines,3,6.6
Oliver Larraz,18,8.1
Connor Ronan,20,6.9
Kévin Cabral,91,6.2
Djordje Mihailovic,10,6.5
Rafael Navarro,9,6.9
Joseph Paintsil,28,8.3
Dejan Joveljic,9,6.6
Gabriel Pec,11,8.9
Ricard Puig,10,9.1
Edwin Cerrillo,20,6.9
Marco Delgado,8,6.8
John Nelson,14,7.0
Maya Yoshida,4,7.7
Carlos Garces,25,6.9
Miki Yamane,2,7.2
John McCarthy,77,7.1
Omir Fernandez,11,6.2
Calvin Harris,14,6.0
Jonathan Lewis,7,5.8
Gaston Brugman,5,6.3
Marco Reus,18,6.2
Diego Fagundez,7,7.2
James Pantemis,41,8.5
Juan Mosquera,29,7.3
Dario Zuparic,13,8.0
Kamal Miller,4,6.4
Claudio Bravo,5,7.6
Diego Chara,21,7.4
David Ayala,24,6.9
Santiago Moreno,30,7.4
Evander Ferreira,10,8.3
Jonathan Rodriguez,14,6.9
Felipe Mora,9,7.5
Bernard Kamungo,77,5.4
Logan Farrington,23,6.0
Alan Velasco,20,5.5
Sebastian Lletget,8,7.4
Asier Illarramendi,14,7.7
Manuel Cafumana,21,7.6
Sam Junqua,29,6.8
Marco Farfan,4,6.2
Sebastien Ibeagha,25,6.6
Paul Arriola,7,6.7
Jimmy Maurer,1,8.8
Miguel Araujo,2,6.9
Antony,11,7.1
Eric Miller,15,6.4
Cristhian Paredes,22,6.7
Tsiki Ntsabeleng,16,7.0
Jesus Ferreira,10,6.1
Joe Willis,1,6.5
Josh Bauer,22,6.4
Walker Zimmerman,25,6.4
Jack Maher,5,6.2
Daniel Lovitz,2,6.3
Dru Yearwood,16,5.7
Sean Davis,54,6.4
Tyler Boyd,11,6.9
Hany Mukhtar,10,7.3
Sam Surridge,9,6.3
Teal Bunbury,12,6.0
Diego Gomez,20,7.4
Leonardo Campana,8,6.4
Julian Gressel,24,8.2
Benjamin Cremaschi,30,7.3
Federico Redondo,55,7.7
