player_name,player_number,spi_score
Strahinja Tanasijevic,12,7.1
Drake Callender,1,5.1
Marcelo Weigandt,57,7.6
Tomas Aviles,6,7.4
Hector Martinez,14,6.2
Jordi Alba,18,6.6
Benjamin Cremaschi,30,6.4
Federico Redondo,55,8.1
Matias Rojas,7,7.8
Lionel Messi,10,8.2
Luis Suárez,9,7.0
Diego Gomez,20,6.2
Aleksey Miranchuk,59,7.5
Jamal Thiaré,29,8.9
Pedro Amador,18,8.2
Tristan Muyumba,8,6.3
Dax McCarty,13,7.2
Bartosz Slisz,6,8.8
Saba Lobzhanidze,9,7.6
Luis Abram,4,6.2
Derrick Williams,3,6.8
Ronald Hernández,2,6.9
Brad Guzan,1,7.9
Leonardo Campana,8,6.0
Sergio Busquets,5,6.3
Stian Gregersen,5,6.5
Ajani Fortune,35,6.9
Daniel Rios,19,6.2
Xande Silva,16,7.0
Hugo Lloris,1,6.9
Jesus Murillo,3,8.2
Maxime Chanot,25,6.4
Aaron Long,33,7.0
Sergi Palencia,14,6.6
Lewis O'Brien,8,7.2
Eduard Atuesta,20,6.2
Ryan Hollingshead,24,8.2
Mateusz Bogusz,19,8.3
Olivier Giroud,9,6.3
Denis Bouanga,99,6.9
Jordan Morris,13,8.2
Pedro De la Vega,10,6.6
Albert Rusnak,11,6.9
Obed Vargas,18,7.1
Cristian Roldan,7,7.7
Reed Baker-Whiting,21,6.6
Alex Roldan,16,8.1
Jon Bell,15,7.4
Jackson Ragen,25,8.0
Yeimar Gomez,28,7.1
Stefan Frei,24,8.8
Timothy Tillman,11,6.6
Cristian Olivera,13,7.2
Ilie Sanchez,6,6.4
Kei Ansu Kamara,23,6.4
Nathan,4,6.8
Georgi Minoungou,93,7.5
Joshua Atencio,8,6.5
Joao Paulo,6,6.4
Raul Ruidiaz,9,6.3
Dayne St. Clair,97,7.2
Carlos Harvey,67,7.5
Michael Boxall,15,6.6
Jefferson Diaz,28,7.4
Bongokuhle Hlongwane,21,7.3
Joseph Rosales,8,8.5
Robin Lod,17,6.3
Hassani Dotson,31,6.9
Wil Trapp,20,7.1
Joaquin Pereyra,26,7.2
Kelvin Yeboah,9,7.8
Anderson Julio,29,6.8
Diego Luna,8,7.0
Matt Crooks,25,8.3
Dominik Marczuk,11,6.4
Braian Ojeda,6,6.6
Emeka Eneli,14,8.2
Alexandros Katranis,98,6.8
Brayan Vera,4,6.3
Justen Glad,15,7.2
Javain Brown,91,7.4
Zac MacMath,18,8.2
Sang-Bin Jeong,11,5.9
Diogo Goncalves,10,6.0
Nelson Palacio,13,6.6
Cristian Arango,9,5.9
Drake Callender,1,7.8
Marcelo Weigandt,57,7.8
Tomas Aviles,6,7.2
Nicolas Freire,21,7.5
Jordi Alba,18,8.0
Julian Gressel,24,6.6
Sergio Busquets,5,8.2
Benjamin Cremaschi,30,6.7
Lionel Messi,10,6.3
Luis Suárez,9,7.2
Matias Rojas,7,7.0
Theodore Ku-DiPietro,21,7.4
Christian Benteke,20,5.8
Mateusz Klich,43,7.1
Jackson Hopkins,25,6.7
Jared Stroud,8,7.3
Pedro Santos,7,7.2
Aaron Herrera,22,6.7
Lucas Bartlett,3,6.6
Steven Birnbaum,15,6.5
Christopher McVey,97,6.5
Alex Bono,24,5.9
Robert Taylor,16,6.4
Serhiy Kryvtsov,27,6.3
Matti Peltola,4,6.9
Cristian Dajome,11,6.1
Garrison Tubbs,16,6.4
Jacob Murrell,17,6.1
Hugo Lloris,1,7.0
Eddie Segura,4,6.6
Maxime Chanot,25,6.9
Aaron Long,33,6.9
Sergi Palencia,14,7.7
Lewis O'Brien,8,8.1
Timothy Tillman,11,7.6
Omar Campos,2,6.6
Mateusz Bogusz,19,7.7
Olivier Giroud,9,7.1
Denis Bouanga,99,8.7
Jeremy Ebobisse,11,6.9
Paul Marie,3,7.6
Hernan Lopez,23,6.8
Cristian Espinoza,10,7.3
Carlos Gruezo,7,5.3
Jackson Yueill,14,7.4
Vitor Costa,94,6.0
Rodrigues,26,6.3
Bruno Wilson,4,5.5
Carlos Akapo,29,6.7
Daniel,42,5.4
Ryan Hollingshead,24,6.3
David Martinez,30,6.5
Kei Ansu Kamara,23,7.1
Eduard Atuesta,20,8.1
Marlon,5,7.3
Oscar Verhoeven,33,6.9
Niko Tsakiris,30,6.6
Amahl Pellegrino,9,6.1
Ousseni Bouda,17,6.0
Kristijan Kahlina,1,8.2
Nathan Byrne,14,7.7
Adilson Malanda,29,7.3
Andrew Privett,34,7.1
Tim Ream,3,7.0
Junior Urso,30,7.4
Ashley Westwood,8,7.5
Brandt Bronico,13,7.6
Pep Biel,10,9.0
Karol Swiderski,9,6.7
Liel Abada,11,8.0
Giacomo Vrioni,9,6.3
Nacho Gil,21,7.1
Carles Gil,10,6.9
Esmir Bajraktarevic,47,6.5
Matt Polster,8,5.3
Alhassan Yusuf,80,6.6
Peyton Miller,25,5.4
Tim Parker,27,5.3
Xavier Arreaga,3,5.2
Brandon Bye,15,5.8
Aljaz Ivacic,31,6.0
Djibril Diani,28,6.3
Kerwin Vargas,18,7.6
Patrick Agyemang,33,8.5
Dylan Borrero,11,4.9
Luca Langoni,41,5.9
Nick Lima,12,6.4
Ian Harkes,14,6.3
Bobby Wood,17,6.3
Roman Celentano,18,8.2
DeAndre Yedlin,91,7.0
Chidozie Awaziem,6,7.7
Alvas Elvis Powell,2,7.4
Luca Orellano,23,7.3
Yuya Kubo,7,6.9
Pavel Bucha,20,6.8
Obinna Nwobodo,5,6.7
Nicholas Gioacchini,9,6.3
Luciano Acosta,10,6.6
Kevin Kelsy,19,6.5
Juan Hernández,9,6.5
Diego Rossi,10,6.5
Christian Ramirez,17,7.2
Darlington Nagbe,6,7.2
Alexandru Matan,20,7.6
Max Arfsten,27,7.1
Mohamed Farsi,23,7.2
Sean Zawadzki,25,6.8
Rudy Camacho,4,7.5
Steven Moreira,31,6.9
Patrick Schulte,28,7.1
Sergio Santos,17,5.9
Roman Celentano,18,4.3
Alvas Elvis Powell,2,7.0
Miles Robinson,12,6.2
Teenage Lingani Hadebe,16,7.4
DeAndre Yedlin,91,7.1
Yamil Asad,27,7.4
Pavel Bucha,20,6.8
Obinna Nwobodo,5,7.1
Luciano Acosta,10,8.3
Kevin Kelsy,19,5.7
Nicholas Gioacchini,9,6.4
Luis Muriel,9,6.4
Ramiro Enrique,7,9.1
Ivan Angulo,77,8.7
Wilder Cartagena,16,7.3
Cesar Araujo,5,7.5
Facundo Torres,10,7.3
Rafael Santos,3,7.0
Robin Jansson,6,7.2
Rodrigo Adrián Schlegel,15,6.7
Kyle Smith,24,7.5
Pedro Gallese,1,7.3
Yuya Kubo,7,5.8
Ian Murphy,32,6.7
Luca Orellano,23,5.6
Corey Baird,11,6.5
Nicolás Lodeiro,14,6.3
William Yarbrough,25,6.0
Carlos Akapo,29,7.0
Tanner Beason,15,6.4
Rodrigues,26,7.3
Oscar Verhoeven,33,7.0
Niko Tsakiris,30,6.1
Carlos Gruezo,7,7.0
Cristian Espinoza,10,7.0
Hernan Lopez,23,6.6
Amahl Pellegrino,9,6.3
Jeremy Ebobisse,11,7.3
Joao Klauss,9,6.2
Nökkvi Thorisson,29,6.8
Marcel Hartel,17,8.5
Cedric Teuchert,36,7.8
Rasmus Alm,21,6.6
Christopher Durkin,8,6.6
Jannes-Kilian Horn,38,7.2
Kyle Hiebert,22,7.2
Joshua Yaro,15,7.3
Tomas Totland,14,7.7
Roman Bürki,1,7.7
Vitor Costa,94,7.1
Jack Skahan,16,6.1
Paul Marie,3,6.2
Jackson Yueill,14,6.3
Akil Watts,20,6.8
Jayden Reid,99,6.8
Indiana Vassilev,19,6.5
Simon Becher,11,5.8
Jake Girdwood-Reich,3,6.3
Yohei Takaoka,1,5.8
Mathias Laborda,2,6.1
Ranko Veselinovic,4,5.6
Tristan Blackmon,6,6.4
Sebastian Berhalter,16,7.1
Pedro Vite,45,7.3
Andrés Cubas,20,5.9
Alessandro Schöpf,8,5.9
Sam Adekugbe,3,6.8
Brian White,24,6.4
Fabrice Picault,11,4.6
Jordan Morris,13,8.0
Paul Rothrock,14,8.0
Albert Rusnak,11,8.8
Georgi Minoungou,93,8.0
Obed Vargas,18,7.3
Cristian Roldan,7,7.2
Nouhou Tolo,5,8.0
Jackson Ragen,25,7.2
Yeimar Gomez,28,7.6
Alex Roldan,16,7.6
Stefan Frei,24,7.5
Levonte Johnson,28,6.0
Bjørn Inge Utvik,15,6.1
Ralph Priso-Mbongue,13,6.4
Edier Ocampo,18,6.1
Deiber Caicedo,23,6.2
Reed Baker-Whiting,21,6.0
Joshua Atencio,8,6.0
Danny Musovski,17,6.1
Pedro De la Vega,10,5.8
Josh Cohen,22,5.6
Brooks Lennon,11,6.8
Stian Gregersen,5,6.5
Derrick Williams,3,5.9
Ronald Hernández,2,6.1
Bartosz Slisz,6,6.4
Ajani Fortune,35,6.6
Tristan Muyumba,8,6.9
Saba Lobzhanidze,9,7.8
Daniel Rios,19,9.1
Xande Silva,16,6.5
Dominique Badji,14,6.8
Christian Benteke,20,8.4
Mateusz Klich,43,7.6
Cristian Dajome,11,7.7
Jared Stroud,8,9.2
Matti Peltola,4,6.3
David Schnegg,28,6.1
Christopher McVey,97,6.8
Lucas Bartlett,3,5.7
Aaron Herrera,22,6.7
Alex Bono,24,8.4
Dax McCarty,13,6.4
Jamal Thiaré,29,7.0
Pedro Amador,18,5.9
Pedro Santos,7,6.8
Jackson Hopkins,25,6.3
Jacob Murrell,17,6.3
Sean Johnson,1,5.5
Richie Laryea,22,6.5
Sigurd Rosted,17,6.7
Raoul Petretta,28,5.1
Federico Bernardeschi,10,7.1
Lorenzo Insigne,24,6.1
Matthew Longstaff,8,6.0
Alonso Coello,14,7.3
Jonathan Osorio,21,6.1
Derrick Etienne,11,6.7
Deandre Kerr,29,6.2
Jacen Russell-Rowe,19,7.2
Diego Rossi,10,6.0
Dylan Chambost,7,7.2
DeJuan Jones,12,6.5
Sean Zawadzki,25,7.4
Derrick Jones,5,6.5
Marcelo Herrera,2,8.2
Malte Amundsen,18,7.2
Rudy Camacho,4,7.7
Evgen Cheberko,21,7.2
Patrick Schulte,28,8.1
Tyrese Spicer,16,6.6
Kosi Thompson,47,6.2
Juan Hernández,9,8.3
Max Arfsten,27,6.8
Aziel Jackson,13,6.4
Brad Stuver,1,7.3
Jon Gallagher,17,8.3
Julio Cascante,18,6.4
Matt Hedges,2,6.8
Guilherme,29,6.5
Alexander Ring,8,7.2
Jhojan Valencia,5,6.0
Daniel Pereira,6,6.9
Jader Obrian,11,6.5
Diego Rubio,14,7.4
Emiliano Ariel Rigoni,7,6.6
Mikael Uhre,7,7.6
Julian Carranza,9,7.6
Daniel Gazdag,10,8.2
Jack McGlynn,16,8.3
Quinn Sullivan,33,7.2
Jose Andres Martinez,8,7.6
Kai Wagner,27,6.0
Damion Lowe,17,6.1
Jack Elliott,3,6.6
Nathan Harriel,26,6.8
Andre Blake,18,5.5
Zan Kolmanic,23,6.4
Owen Wolff,33,6.5
Hector Jimenez,16,6.8
Sebastian Driussi,10,5.8
Alejandro Bedoya,11,6.4
Matt Freese,49,6.9
Tayvon Gray,24,7.8
Strahinja Tanasijevic,12,7.0
Birk Risa,5,7.1
Kevin O'Toole,22,6.4
James Sands,6,8.0
Keaton Parks,55,8.1
Julian Fernandez,11,5.9
Santiago Rodriguez,10,8.9
Hannes Wolf,17,8.1
Jovan Mijatovic,7,6.7
Jeremy Ebobisse,11,6.9
Amahl Pellegrino,9,7.0
Hernan Lopez,23,6.9
