player_name,player_number,spi_score
Roman Celentano,18,8.5
Chidozie Awaziem,6,6.9
Miles Robinson,12,7.5
Teenage Lingani Hadebe,16,7.6
DeAndre Yedlin,91,6.6
Yamil Asad,27,7.7
Pavel Bucha,20,6.9
Obinna Nwobodo,5,7.8
Luciano Acosta,10,6.9
Luca Orellano,23,7.6
Yuya Kubo,7,6.1
Alonso Martinez,16,5.8
Santiago Rodriguez,10,6.3
Maxi Moralez,27,7.0
Hannes Wolf,17,6.7
James Sands,6,7.6
Keaton Parks,55,6.9
Kevin O'Toole,22,7.6
Justin Haak,80,6.7
Thiago Martins,13,7.3
Mitja Ilenic,35,6.5
Matt Freese,49,9.1
Sergio Santos,17,6.5
Andres Perea,8,6.1
Sean Johnson,1,8.0
Henry Wingo,30,6.1
Nicksoen Gomis,15,7.1
Raoul Petretta,28,6.9
Federico Bernardeschi,10,7.3
Richie Laryea,22,8.0
Matthew Longstaff,8,7.6
Alonso Coello,14,7.1
Jonathan Osorio,21,7.8
Lorenzo Insigne,24,7.0
Deandre Kerr,29,8.4
Jader Obrian,11,6.6
Gyasi Zardes,9,5.8
Osman Bukari,7,7.0
Sebastian Driussi,10,6.5
Daniel Pereira,6,6.1
Alexander Ring,8,6.7
Guilherme Biro,29,6.5
Matt Hedges,2,5.9
Brendan Hines-Ike,4,7.2
Mikkel Desler,3,6.0
Brad Stuver,1,5.1
Shane O'Neill,27,6.1
Deybi Flores,20,6.8
Kosi Thompson,47,6.6
Prince Osei Owusu,99,6.1
Aime Mabika,6,6.2
Julio Cascante,18,6.6
Jhojan Valencia,5,6.7
Jon Gallagher,17,6.3
Diego Rubio,14,6.0
Owen Wolff,33,7.6
Drake Callender,1,6.3
Marcelo Weigandt,57,5.9
Tomas Aviles,6,6.5
Serhiy Kryvtsov,27,6.1
Jordi Alba,18,9.0
Matias Rojas,7,6.7
Sergio Busquets,5,7.7
Federico Redondo,55,6.0
Lionel Messi,10,9.0
Luis Suárez,9,6.9
Robert Taylor,16,7.1
Celio Pompeu,12,8.8
Joao Klauss,9,6.8
Rasmus Alm,21,6.0
Christopher Durkin,8,7.4
Indiana Vassilev,19,7.2
Eduard Löwen,10,7.1
Anthony Markanich,13,6.2
Joakim Nilsson,4,6.2
Tim Parker,26,6.4
Tomas Totland,14,6.1
Roman Bürki,1,6.9
Benjamin Cremaschi,30,7.3
Ryan Sailor,15,6.1
Julian Gressel,24,7.4
Leonardo Campana,8,6.5
Hosei Kijima,85,8.0
