player_name,player_number,spi_score
Timothy Tillman,11,6.6
Cristian Olivera,13,7.2
Ilie Sanchez,6,6.4
Kei Ansu Kamara,23,6.4
Nathan,4,6.8
Georgi Minoungou,93,7.5
Joshua Atencio,8,6.5
Joao Paulo,6,6.4
Raul Ruidiaz,9,6.3
Chris Brady,34,6.3
Arnaud Souquet,2,6.2
Mauricio Pineda,22,6.4
Tobias Salquist,14,5.5
Jonathan Dean,24,6.3
Federico Navarro,31,6.6
Kellyn Acosta,23,6.0
Maren Haile-Selassie,7,6.5
Brian Gutierrez,17,6.3
Chris Mueller,8,6.4
Hugo Cuypers,9,7.0
Sam Surridge,9,8.4
Alex Muyl,19,8.2
Hany Mukhtar,10,7.3
Jonathan Perez,24,6.7
Brian Anunga,27,7.0
Sean Davis,54,6.9
Taylor Washington,23,8.1
Josh Bauer,22,6.9
Walker Zimmerman,25,7.5
Julian Gaines,29,8.2
Elliot Panicco,30,8.9
Rafael Czichos,5,6.6
Gaston Claudio Gimenez,30,6.9
Justin Reynolds,36,6.2
Georgios Koutsias,19,6.2
Anibal Godoy,20,8.1
Patrick Yazbek,15,6.7
Jacob Shaffelburg,14,7.5
Yohei Takaoka,1,5.9
Mathias Laborda,2,6.0
Ranko Veselinovic,4,6.1
Tristan Blackmon,6,6.3
Ali Ahmed,22,6.7
Pedro Vite,45,6.5
Andrés Cubas,20,7.1
Alessandro Schöpf,8,6.1
Ryan Gauld,25,8.2
Brian White,24,6.6
Fabrice Picault,11,8.2
Robert Taylor,16,8.8
Leonardo Campana,8,7.8
Matias Rojas,7,6.9
Benjamin Cremaschi,30,7.0
Yannick Bright,42,7.4
Julian Gressel,24,7.1
Jordi Alba,18,7.8
Serhiy Kryvtsov,27,7.6
Tomas Aviles,6,6.6
Marcelo Weigandt,57,6.9
Drake Callender,1,7.0
Giuseppe Bovalina,27,6.4
Luis Martins,14,6.2
Sebastian Berhalter,16,6.7
Ryan Raposo,7,6.3
Federico Redondo,55,6.4
Hugo Lloris,1,7.8
Marlon,5,6.5
Maxime Chanot,25,7.8
Aaron Long,33,6.8
Sergi Palencia,14,7.5
Timothy Tillman,11,6.9
Lewis O'Brien,8,6.8
Ryan Hollingshead,24,7.4
Cristian Olivera,13,6.2
Mateusz Bogusz,19,8.2
Denis Bouanga,99,7.0
Fabrice Picault,11,6.0
Brian White,24,5.9
Ryan Gauld,25,7.4
Pedro Vite,45,6.2
Andrés Cubas,20,6.4
Stuart Armstrong,26,7.4
Sam Adekugbe,3,7.0
Ranko Veselinovic,4,6.3
Tristan Blackmon,6,6.7
Sebastian Berhalter,16,6.3
Yohei Takaoka,1,5.8
Eduard Atuesta,20,6.2
Olivier Giroud,9,6.6
Ali Ahmed,22,6.9
Alessandro Schöpf,8,6.4
Brad Stuver,1,6.7
Mikkel Desler,3,6.6
Julio Cascante,18,7.0
Brendan Hines-Ike,4,6.6
Guilherme Biro,29,6.5
Alexander Ring,8,7.0
Jhojan Valencia,5,6.1
Osman Bukari,7,6.6
Sebastian Driussi,10,6.8
Jon Gallagher,17,7.1
Gyasi Zardes,9,5.9
Ezequiel Ponce,10,6.6
Ibrahim Aliyu,18,6.9
Amine Bassi,8,6.9
Sebastian Kowalczyk,27,6.7
Artur,6,7.1
Adalberto Carrasquilla,20,8.6
Franco Escobar,2,7.5
Micael,31,7.5
Erik Sviatchenko,28,8.2
Griffin Dorsey,25,6.8
Steve Clark,12,8.3
Oleksandr Svatok,21,6.1
Daniel Pereira,6,7.0
Owen Wolff,33,6.8
Jader Obrian,11,6.9
Diego Rubio,14,6.5
Latif Blessing,15,6.5
Daniel Steres,5,6.4
McKinze Gaines,14,6.0
Andre Blake,18,6.4
Nathan Harriel,26,8.1
Jakob Glesnes,5,6.8
Jack Elliott,3,7.0
Kai Wagner,27,9.1
Leon Flach,31,6.3
Quinn Sullivan,33,6.8
Jack McGlynn,16,7.1
Daniel Gazdag,10,7.2
Mikael Uhre,7,6.5
Tai Baribo,28,6.7
Daniel Rios,19,6.7
Tyler Wolff,28,6.5
Aleksey Miranchuk,59,7.1
Saba Lobzhanidze,9,7.3
Ajani Fortune,35,7.2
Bartosz Slisz,6,7.1
Pedro Amador,18,7.3
Derrick Williams,3,6.7
Stian Gregersen,5,6.6
Brooks Lennon,11,7.5
Brad Guzan,1,7.5
Alejandro Bedoya,11,6.6
Danley Jean Jacques,21,6.5
Samuel Adeniran,9,6.0
Tristan Muyumba,8,6.5
Luka Gavran,90,6.4
Shane O'Neill,27,6.5
Kevin Long,5,6.4
Sigurd Rosted,17,6.5
Jahkeele Marshall-Rutty,7,7.8
Tyrese Spicer,16,6.6
Matthew Longstaff,8,6.4
Alonso Coello,14,7.1
Federico Bernardeschi,10,6.6
Jonathan Osorio,21,8.6
Prince Osei Owusu,99,6.3
Daniel Salloi,10,7.4
William Agada,23,8.1
Memo Rodriguez,8,7.8
Erik Thommy,26,7.7
Nemanja Radoja,6,7.9
Rémi Walter,54,8.2
Tim Leibold,14,7.0
Robert Voloder,4,6.9
Daniel Rosero,5,7.3
Jacob Davis,17,8.7
Tim Melia,29,7.0
Deybi Flores,20,6.4
Kosi Thompson,47,6.3
Deandre Kerr,29,5.8
Felipe Hernandez,21,6.0
Alenis Vargas,20,7.8
Zack Steffen,95,4.6
Reggie Cannon,4,5.9
Andreas Maxsø,5,6.2
Lalas Abubakar,6,6.5
Keegan Rosenberry,2,6.3
Samuel Vines,3,6.6
Oliver Larraz,18,8.1
Connor Ronan,20,6.9
Kévin Cabral,91,6.2
Djordje Mihailovic,10,6.5
Rafael Navarro,9,6.9
Joseph Paintsil,28,8.3
Dejan Joveljic,9,6.6
Gabriel Pec,11,8.9
Ricard Puig,10,9.1
Edwin Cerrillo,20,6.9
Marco Delgado,8,6.8
John Nelson,14,7.0
Maya Yoshida,4,7.7
Carlos Garces,25,6.9
Miki Yamane,2,7.2
John McCarthy,77,7.1
Omir Fernandez,11,6.2
Calvin Harris,14,6.0
Jonathan Lewis,7,5.8
Gaston Brugman,5,6.3
Marco Reus,18,6.2
Diego Fagundez,7,7.2
Zack Steffen,95,7.9
Keegan Rosenberry,2,7.2
Lalas Abubakar,6,6.6
Andreas Maxsø,5,6.6
Samuel Vines,3,6.4
Connor Ronan,20,7.5
Oliver Larraz,18,7.0
Omir Fernandez,11,7.5
Cole Bassett,23,6.6
Kévin Cabral,91,6.8
Rafael Navarro,9,7.2
Dante Vanzeir,13,7.5
Lewis Morgan,9,7.5
Cameron Harper,17,6.9
Daniel Edelman,75,7.2
Ronald Donkor,48,6.8
Kyle Duncan,6,6.4
Dylan Nealis,12,8.0
Noah Eile,3,6.7
Sean Nealis,15,5.5
Andres Reyes,4,6.9
Carlos Miguel,31,6.9
Jonathan Lewis,7,6.1
Wikelman Carmona,19,6.4
Dennis Gjengaar,2,5.9
Yohei Takaoka,1,7.8
Bjørn Inge Utvik,15,7.0
Ranko Veselinovic,4,7.2
Tristan Blackmon,6,7.9
Ali Ahmed,22,7.0
Pedro Vite,45,8.3
Ralph Priso-Mbongue,13,6.6
Alessandro Schöpf,8,7.1
Sam Adekugbe,3,7.1
Fabrice Picault,11,8.6
Ryan Gauld,25,9.1
Hernan Lopez,23,5.8
Preston Judd,19,5.8
Cristian Espinoza,10,6.5
Paul Marie,3,6.3
Jackson Yueill,14,6.4
Niko Tsakiris,30,6.4
Benjamin Kikanovic,28,6.4
Tanner Beason,15,6.9
Rodrigues,26,6.5
Carlos Akapo,29,6.4
Daniel,42,8.4
Sebastian Berhalter,16,6.4
Mathias Laborda,2,7.0
Edier Ocampo,18,6.7
Vitor Costa,94,6.6
Ousseni Bouda,17,5.7
Alfredo Morales,6,6.2
Amahl Pellegrino,9,6.0
Dayne St. Clair,97,7.2
Carlos Harvey,67,7.5
Michael Boxall,15,6.6
Jefferson Diaz,28,7.4
Bongokuhle Hlongwane,21,7.3
Joseph Rosales,8,8.5
Robin Lod,17,6.3
Hassani Dotson,31,6.9
Wil Trapp,20,7.1
Joaquin Pereyra,26,7.2
Kelvin Yeboah,9,7.8
Anderson Julio,29,6.8
Diego Luna,8,7.0
Matt Crooks,25,8.3
Dominik Marczuk,11,6.4
Braian Ojeda,6,6.6
Emeka Eneli,14,8.2
Alexandros Katranis,98,6.8
Brayan Vera,4,6.3
Justen Glad,15,7.2
Javain Brown,91,7.4
Zac MacMath,18,8.2
Sang-Bin Jeong,11,5.9
Diogo Goncalves,10,6.0
Nelson Palacio,13,6.6
Cristian Arango,9,5.9
Maxime Crepeau,16,5.9
Juan Mosquera,29,6.0
Miguel Araujo,2,5.4
Dario Zuparic,13,7.0
Claudio Bravo,5,6.9
David Ayala,24,7.5
Diego Chara,21,6.4
Santiago Moreno,30,7.8
Evander Ferreira,10,9.0
Jonathan Rodriguez,14,7.8
Felipe Mora,9,8.3
Simon Becher,11,7.7
Marcel Hartel,17,8.9
Cedric Teuchert,36,8.4
Nökkvi Thorisson,29,7.7
Eduard Löwen,10,8.3
Christopher Durkin,8,7.3
Jayden Reid,99,6.1
Kyle Hiebert,22,6.0
Henry Kessler,5,6.4
Tomas Totland,14,5.5
Roman Bürki,1,5.0
Eryk Williamson,19,6.4
Antony,11,6.5
Indiana Vassilev,19,5.9
Jannes-Kilian Horn,38,6.8
Hosei Kijima,85,6.3
Yohei Takaoka,1,6.6
Javain Brown,23,6.9
Ranko Veselinovic,4,6.9
Tristan Blackmon,6,6.8
Alessandro Schöpf,8,6.4
Andrés Cubas,20,7.1
Pedro Vite,45,8.2
Ryan Raposo,7,8.1
Damir Kreilach,19,6.6
Brian White,24,6.2
Ryan Gauld,25,6.6
Iuri Tavares,38,8.0
Enzo Copetti,9,7.5
Kerwin Vargas,18,7.1
Junior Urso,30,6.6
Ashley Westwood,8,6.8
Brecht Dejaeghere,10,6.8
Jere Uronen,21,7.5
Andrew Privett,34,7.1
Adilson Malanda,29,7.1
Nathan Byrne,14,7.1
Kristijan Kahlina,1,6.7
Fabrice Picault,11,6.5
Sebastian Berhalter,16,5.9
Ali Ahmed,22,6.2
Luis Martins,14,6.1
Patrick Agyemang,33,6.4
Yohei Takaoka,1,5.8
Mathias Laborda,2,6.1
Ranko Veselinovic,4,5.6
Tristan Blackmon,6,6.4
Sebastian Berhalter,16,7.1
Pedro Vite,45,7.3
Andrés Cubas,20,5.9
Alessandro Schöpf,8,5.9
Sam Adekugbe,3,6.8
Brian White,24,6.4
Fabrice Picault,11,4.6
Jordan Morris,13,8.0
Paul Rothrock,14,8.0
Albert Rusnak,11,8.8
Georgi Minoungou,93,8.0
Obed Vargas,18,7.3
Cristian Roldan,7,7.2
Nouhou Tolo,5,8.0
Jackson Ragen,25,7.2
Yeimar Gomez,28,7.6
Alex Roldan,16,7.6
Stefan Frei,24,7.5
Levonte Johnson,28,6.0
Bjørn Inge Utvik,15,6.1
Ralph Priso-Mbongue,13,6.4
Edier Ocampo,18,6.1
Deiber Caicedo,23,6.2
Reed Baker-Whiting,21,6.0
Joshua Atencio,8,6.0
Danny Musovski,17,6.1
Pedro De la Vega,10,5.8
Pedro Gallese,1,7.7
Dagur Dan Thorhallsson,17,7.2
Rodrigo Adrián Schlegel,15,6.8
Robin Jansson,6,6.8
Rafael Santos,3,7.9
Cesar Araujo,5,6.7
Wilder Cartagena,16,6.8
Facundo Torres,10,8.1
Martin Ojeda,11,6.9
Ivan Angulo,77,6.7
Ramiro Enrique,7,6.5
Kerwin Vargas,18,7.2
Patrick Agyemang,33,6.8
Pep Biel,10,7.1
Brandt Bronico,13,6.4
Ashley Westwood,8,6.2
Djibril Diani,28,6.8
Tim Ream,3,7.2
Andrew Privett,34,6.5
Adilson Malanda,29,7.0
Nathan Byrne,14,7.3
Kristijan Kahlina,1,8.6
Duncan McGuire,13,6.6
Luis Muriel,9,7.1
Kyle Smith,24,5.7
Nicolás Lodeiro,14,6.3
Karol Swiderski,9,7.3
Liel Abada,11,7.1
Roman Bürki,1,8.2
Tomas Totland,14,6.5
Michael Wentzel,40,6.8
Tim Parker,26,7.3
Jayden Reid,99,6.9
Indiana Vassilev,19,7.2
Christopher Durkin,8,7.1
Eduard Löwen,10,8.1
Nökkvi Thorisson,29,5.9
Hosei Kijima,85,6.5
Joao Klauss,9,8.0
Xande Silva,16,6.3
Daniel Rios,19,7.5
Jamal Thiaré,29,6.9
Caleb Wiley,26,6.8
Tristan Muyumba,8,7.3
Ajani Fortune,35,8.1
Brooks Lennon,11,7.0
Noah Cobb,24,7.3
Derrick Williams,3,7.8
Efrain Morales,21,6.6
Brad Guzan,1,7.1
Akil Watts,20,6.1
Johnny Klein,41,6.2
Caden Glover,46,6.2
Stian Gregersen,5,7.0
Dax McCarty,13,6.2
Stefan Frei,24,8.0
Alex Roldan,16,7.1
Yeimar Gomez,28,8.0
Jackson Ragen,25,7.9
Reed Baker-Whiting,21,6.9
Cristian Roldan,7,8.3
Obed Vargas,18,7.7
Paul Rothrock,14,8.4
Albert Rusnak,11,7.4
Georgi Minoungou,93,6.9
Jordan Morris,13,8.0
Alan Pulido,9,6.9
Daniel Salloi,10,6.3
Erik Thommy,26,6.9
Johnny Russell,7,6.7
Zorhan Bassong,22,5.6
Rémi Walter,54,6.4
Tim Leibold,14,6.8
Robert Voloder,4,6.9
Daniel Rosero,5,6.6
Khiry Shelton,11,5.7
Tim Melia,29,7.2
Jon Bell,15,6.2
Pedro De la Vega,10,6.4
Joshua Atencio,8,6.3
Memo Rodriguez,8,6.7
Stephen Afrifa,30,5.9
William Agada,23,5.7
Alenis Vargas,20,6.2
Drake Callender,1,5.1
Marcelo Weigandt,57,7.6
Tomas Aviles,6,7.4
Hector Martinez,14,6.2
Jordi Alba,18,6.6
Benjamin Cremaschi,30,6.4
Federico Redondo,55,8.1
Matias Rojas,7,7.8
Lionel Messi,10,8.2
Luis Suárez,9,7.0
Diego Gomez,20,6.2
Aleksey Miranchuk,59,7.5
Jamal Thiaré,29,8.9
Pedro Amador,18,8.2
Tristan Muyumba,8,6.3
Dax McCarty,13,7.2
Bartosz Slisz,6,8.8
Saba Lobzhanidze,9,7.6
Luis Abram,4,6.2
Derrick Williams,3,6.8
Ronald Hernández,2,6.9
Brad Guzan,1,7.9
Leonardo Campana,8,6.0
Sergio Busquets,5,6.3
Stian Gregersen,5,6.5
Ajani Fortune,35,6.9
Daniel Rios,19,6.2
Xande Silva,16,7.0
Steve Clark,12,7.0
Griffin Dorsey,25,6.7
Erik Sviatchenko,28,6.6
Micael,31,6.3
Franco Escobar,2,7.0
Adalberto Carrasquilla,20,6.9
Artur,6,7.4
Sebastian Kowalczyk,27,6.5
Amine Bassi,8,7.2
Ibrahim Aliyu,18,6.6
Ezequiel Ponce,10,7.4
Fabrice Picault,11,7.8
Ryan Gauld,25,6.8
Sam Adekugbe,3,6.5
Pedro Vite,45,5.7
Sebastian Berhalter,16,7.1
Ryan Raposo,7,6.6
Andrés Cubas,20,6.2
Bjørn Inge Utvik,15,7.5
Ranko Veselinovic,4,7.3
Mathias Laborda,2,7.4
Yohei Takaoka,1,6.4
Brooklyn Raines,35,6.2
Latif Blessing,15,6.2
Daniel Steres,5,6.1
McKinze Gaines,14,5.9
Alessandro Schöpf,8,6.4
Ralph Priso-Mbongue,13,6.5
Brian White,24,7.3
Edier Ocampo,18,6.4
Hugo Lloris,1,6.9
Jesus Murillo,3,8.2
Maxime Chanot,25,6.4
Aaron Long,33,7.0
Sergi Palencia,14,6.6
Lewis O'Brien,8,7.2
Eduard Atuesta,20,6.2
Ryan Hollingshead,24,8.2
Mateusz Bogusz,19,8.3
Olivier Giroud,9,6.3
Denis Bouanga,99,6.9
Jordan Morris,13,8.2
Pedro De la Vega,10,6.6
Albert Rusnak,11,6.9
Obed Vargas,18,7.1
Cristian Roldan,7,7.7
Reed Baker-Whiting,21,6.6
Alex Roldan,16,8.1
Jon Bell,15,7.4
Jackson Ragen,25,8.0
Yeimar Gomez,28,7.1
Stefan Frei,24,8.8
Timothy Tillman,11,6.6
Cristian Olivera,13,7.2
Ilie Sanchez,6,6.4
Kei Ansu Kamara,23,6.4
Nathan,4,6.8
Georgi Minoungou,93,7.5
Joshua Atencio,8,6.5
Joao Paulo,6,6.4
Raul Ruidiaz,9,6.3
Brad Stuver,1,6.7
Mikkel Desler,3,6.6
Julio Cascante,18,7.0
Brendan Hines-Ike,4,6.6
Guilherme Biro,29,6.5
Alexander Ring,8,7.0
Jhojan Valencia,5,6.1
Osman Bukari,7,6.6
Sebastian Driussi,10,6.8
Jon Gallagher,17,7.1
Gyasi Zardes,9,5.9
Ezequiel Ponce,10,6.6
Ibrahim Aliyu,18,6.9
Amine Bassi,8,6.9
Sebastian Kowalczyk,27,6.7
Artur,6,7.1
Adalberto Carrasquilla,20,8.6
Franco Escobar,2,7.5
Micael,31,7.5
Erik Sviatchenko,28,8.2
Griffin Dorsey,25,6.8
Steve Clark,12,8.3
Oleksandr Svatok,21,6.1
Daniel Pereira,6,7.0
Owen Wolff,33,6.8
Jader Obrian,11,6.9
Diego Rubio,14,6.5
Latif Blessing,15,6.5
Daniel Steres,5,6.4
McKinze Gaines,14,6.0
Brad Stuver,1,7.5
Jon Gallagher,17,6.7
Julio Cascante,18,7.8
Brendan Hines-Ike,4,5.1
Guilherme,29,6.7
Daniel Pereira,6,6.2
Alexander Ring,8,6.6
Owen Wolff,33,6.1
Sebastian Driussi,10,7.3
Jader Obrian,11,5.7
Gyasi Zardes,9,5.3
Danny Musovski,17,6.1
Leo Chu,23,6.8
Pedro De la Vega,10,6.0
Paul Rothrock,14,7.7
Joao Paulo,6,7.8
Obed Vargas,18,7.8
Nouhou Tolo,5,7.3
Jackson Ragen,25,7.0
Yeimar Gomez,28,7.5
Alex Roldan,16,7.4
Stefan Frei,24,8.1
Jhojan Valencia,5,6.2
Diego Rubio,14,6.4
Albert Rusnak,11,6.8
Jordan Morris,13,7.5
Reed Baker-Whiting,21,6.2
Matt Freese,49,6.3
Tayvon Gray,24,6.1
Thiago Martins,13,7.5
Birk Risa,5,6.5
Christian McFarlane,18,6.9
James Sands,6,7.3
Keaton Parks,55,7.9
Hannes Wolf,17,7.9
Maxi Moralez,27,7.4
Santiago Rodriguez,10,6.4
Alonso Martinez,16,9.0
Maren Haile-Selassie,7,6.8
Hugo Cuypers,9,7.1
Andrew Gutman,15,7.2
Kellyn Acosta,23,6.7
Brian Gutierrez,17,7.4
Gaston Claudio Gimenez,30,6.8
Allan Arigoni,27,6.8
Rafael Czichos,5,6.6
Carlos Teran,4,6.1
Arnaud Souquet,2,6.2
Chris Brady,34,5.9
Julian Fernandez,11,6.2
Kevin O'Toole,22,6.5
Jovan Mijatovic,7,6.1
Tobias Salquist,14,7.3
Chris Mueller,8,6.8
Justin Reynolds,36,6.4
Federico Navarro,31,6.5
Georgios Koutsias,19,6.1
Roman Celentano,18,8.5
Chidozie Awaziem,6,6.9
Miles Robinson,12,7.5
Teenage Lingani Hadebe,16,7.6
DeAndre Yedlin,91,6.6
Yamil Asad,27,7.7
Pavel Bucha,20,6.9
Obinna Nwobodo,5,7.8
Luciano Acosta,10,6.9
Luca Orellano,23,7.6
Yuya Kubo,7,6.1
Alonso Martinez,16,5.8
Santiago Rodriguez,10,6.3
Maxi Moralez,27,7.0
Hannes Wolf,17,6.7
James Sands,6,7.6
Keaton Parks,55,6.9
Kevin O'Toole,22,7.6
Justin Haak,80,6.7
Thiago Martins,13,7.3
Mitja Ilenic,35,6.5
Matt Freese,49,9.1
Sergio Santos,17,6.5
Andres Perea,8,6.1
Roman Bürki,1,7.3
Tomas Totland,14,6.9
Tim Parker,26,7.4
Joakim Nilsson,4,7.6
Anthony Markanich,13,7.6
Indiana Vassilev,19,7.3
Christopher Durkin,8,7.8
Eduard Löwen,10,7.5
Celio Pompeu,12,8.8
Samuel Adeniran,16,7.9
Aziel Jackson,25,6.5
Santiago Rodriguez,10,6.3
Monsef Bakrar,9,6.5
Hannes Wolf,17,6.8
James Sands,6,6.3
Andres Perea,8,7.5
Keaton Parks,55,6.4
Kevin O'Toole,22,6.7
Birk Risa,5,6.3
Thiago Martins,13,6.1
Mitja Ilenic,35,6.0
Matt Freese,49,5.8
Joao Klauss,9,6.3
Tomas Ostrak,7,5.9
Julian Fernandez,11,6.6
Agustin Ojeda,26,6.3
Jovan Mijatovic,7,5.9
Steve Clark,12,8.1
Griffin Dorsey,25,6.9
Erik Sviatchenko,28,7.4
Micael,31,7.5
Franco Escobar,2,7.3
Artur,6,7.7
Héctor Herrera,16,7.6
Latif Blessing,15,7.0
Amine Bassi,8,7.7
Ibrahim Aliyu,18,7.5
Carlos Ferreira,11,7.7
Patrick Agyemang,33,5.6
Kerwin Vargas,18,7.0
Ben Bender,15,6.2
Liel Abada,11,6.6
Djibril Diani,28,6.4
Brandt Bronico,13,6.4
Jere Uronen,21,6.6
Andrew Privett,34,7.1
Adilson Malanda,29,6.9
Nathan Byrne,14,6.7
Kristijan Kahlina,1,6.8
Sebastian Kowalczyk,27,6.5
Brad Smith,3,6.6
Brooklyn Raines,35,6.1
Nikola Petkovic,23,5.9
Iuri Tavares,38,6.3
Scott Arfield,37,5.9
Joe Willis,1,6.5
Josh Bauer,22,6.4
Walker Zimmerman,25,6.4
Jack Maher,5,6.2
Daniel Lovitz,2,6.3
Dru Yearwood,16,5.7
Sean Davis,54,6.4
Tyler Boyd,11,6.9
Hany Mukhtar,10,7.3
Sam Surridge,9,6.3
Teal Bunbury,12,6.0
Diego Gomez,20,7.4
Leonardo Campana,8,6.4
Julian Gressel,24,8.2
Benjamin Cremaschi,30,7.3
Federico Redondo,55,7.7
Yannick Bright,42,7.0
Jordi Alba,18,8.3
Sergio Busquets,5,7.3
Serhiy Kryvtsov,27,6.7
Ian Fray,17,8.3
Drake Callender,1,7.5
Amar Sejdic,6,6.9
Brian Anunga,27,6.6
Forster Ajago,21,7.0
Ryan Sailor,15,6.2
Robert Taylor,16,6.5
Yohei Takaoka,1,5.8
Mathias Laborda,2,6.1
Ranko Veselinovic,4,5.6
Tristan Blackmon,6,6.4
Sebastian Berhalter,16,7.1
Pedro Vite,45,7.3
Andrés Cubas,20,5.9
Alessandro Schöpf,8,5.9
Sam Adekugbe,3,6.8
Brian White,24,6.4
Fabrice Picault,11,4.6
Jordan Morris,13,8.0
Paul Rothrock,14,8.0
Albert Rusnak,11,8.8
Georgi Minoungou,93,8.0
Obed Vargas,18,7.3
Cristian Roldan,7,7.2
Nouhou Tolo,5,8.0
Jackson Ragen,25,7.2
Yeimar Gomez,28,7.6
Alex Roldan,16,7.6
Stefan Frei,24,7.5
Levonte Johnson,28,6.0
Bjørn Inge Utvik,15,6.1
Ralph Priso-Mbongue,13,6.4
Edier Ocampo,18,6.1
Deiber Caicedo,23,6.2
Reed Baker-Whiting,21,6.0
Joshua Atencio,8,6.0
Danny Musovski,17,6.1
Pedro De la Vega,10,5.8
Nicholas Hagen,1,7.7
Steven Moreira,31,6.9
Rudy Camacho,4,7.8
Malte Amundsen,18,7.3
Mohamed Farsi,23,6.7
Max Arfsten,27,6.9
Sean Zawadzki,25,8.4
Darlington Nagbe,6,8.0
Christian Ramirez,17,6.6
Diego Rossi,10,9.0
Juan Hernández,9,7.8
Alan Pulido,9,6.2
Daniel Salloi,10,6.3
Erik Thommy,26,6.8
Johnny Russell,7,6.8
Rémi Walter,54,5.5
Jacob Davis,17,4.9
Tim Leibold,14,6.6
Robert Voloder,4,5.8
Daniel Rosero,5,5.9
