player_name,player_number,spi_score
Fernando Álvarez,4,6.0
Joel Waterman,16,4.9
George Campbell,24,5.6
Jonathan Sirois,40,4.8
Sergio Santos,17,7.7
Bret Halsey,15,6.3
Gerardo Valenzuela,22,6.3
Kwadwo Opoku,7,7.4
Bryce Duke,10,6.4
Lassi Lappalainen,21,6.3
Gabriele Corbo,25,6.0
Jahkeele Marshall-Rutty,11,6.5
Roman Celentano,18,4.3
Alvas Elvis Powell,2,7.0
Miles Robinson,12,6.2
Teenage Lingani Hadebe,16,7.4
DeAndre Yedlin,91,7.1
Yamil Asad,27,7.4
Pavel Bucha,20,6.8
Obinna Nwobodo,5,7.1
Luciano Acosta,10,8.3
Kevin Kelsy,19,5.7
Nicholas Gioacchini,9,6.4
Luis Muriel,9,6.4
Ramiro Enrique,7,9.1
Ivan Angulo,77,8.7
Wilder Cartagena,16,7.3
Cesar Araujo,5,7.5
Facundo Torres,10,7.3
Rafael Santos,3,7.0
Robin Jansson,6,7.2
Rodrigo Adrián Schlegel,15,6.7
Kyle Smith,24,7.5
Pedro Gallese,1,7.3
Yuya Kubo,7,5.8
Ian Murphy,32,6.7
Luca Orellano,23,5.6
Corey Baird,11,6.5
Nicolás Lodeiro,14,6.3
William Yarbrough,25,6.1
Carlos Akapo,29,6.6
Rodrigues,26,7.1
Bruno Wilson,4,6.3
Vitor Costa,94,7.5
Jackson Yueill,14,6.6
Carlos Gruezo,7,6.1
Cristian Espinoza,10,8.5
Hernan Lopez,23,7.8
Amahl Pellegrino,9,6.6
Jeremy Ebobisse,11,8.1
Diego Rubio,14,7.1
Owen Wolff,33,8.0
Sebastian Driussi,10,6.5
Jader Obrian,11,5.9
Daniel Pereira,6,6.7
Alexander Ring,8,6.7
Guilherme,29,7.9
Brendan Hines-Ike,4,7.3
Julio Cascante,18,6.7
Hector Jimenez,16,6.5
Brad Stuver,1,7.3
Niko Tsakiris,30,7.0
Jack Skahan,16,6.3
Ethan Finlay,13,5.9
Zack Steffen,95,7.6
Sebastian Anderson,22,7.0
Lalas Abubakar,6,7.2
Andreas Maxsø,5,7.2
Reggie Cannon,4,7.8
Connor Ronan,20,7.1
Oliver Larraz,18,7.2
Darren Yapi,77,8.4
Djordje Mihailovic,10,8.6
Cole Bassett,23,7.1
Rafael Navarro,9,7.5
Derrick Etienne,11,5.9
Prince Osei Owusu,99,6.3
Tyrese Spicer,16,6.0
Brandon Servania,23,6.4
Deybi Flores,20,6.3
Kosi Thompson,47,6.5
Kobe Franklin,19,6.6
Shane O'Neill,27,7.2
Sigurd Rosted,17,6.5
Aime Mabika,6,6.3
Sean Johnson,1,7.6
Keegan Rosenberry,2,6.7
Omir Fernandez,11,6.2
Richie Laryea,22,6.3
Matthew Longstaff,8,6.8
Deandre Kerr,29,5.9
Federico Bernardeschi,10,6.3
Alonso Coello,14,6.2
Yohei Takaoka,1,7.0
Mathias Laborda,2,6.5
Ranko Veselinovic,4,7.2
Bjørn Inge Utvik,15,6.6
Ali Ahmed,22,6.7
Sam Adekugbe,3,7.0
Pedro Vite,45,7.5
Andrés Cubas,20,6.7
Stuart Armstrong,26,6.7
Ryan Gauld,25,6.4
Brian White,24,6.1
Tani Oluwaseyi,14,6.4
Bongokuhle Hlongwane,21,7.1
Joaquin Pereyra,26,6.6
Wil Trapp,20,6.9
Hassani Dotson,31,8.2
Sang-Bin Jeong,11,7.2
Anthony Markanich,13,7.3
Miguel Tapias,4,7.5
Jefferson Diaz,28,7.3
Carlos Harvey,67,7.7
Dayne St. Clair,97,7.8
Alessandro Schöpf,8,6.4
Ryan Raposo,7,6.7
Sebastian Berhalter,16,6.7
Damir Kreilach,19,5.9
Joseph Rosales,8,7.3
Robin Lod,17,6.3
Kelvin Yeboah,9,6.1
Loic Mesanvi,90,6.6
Steve Clark,12,6.4
Griffin Dorsey,25,6.3
Erik Sviatchenko,28,6.2
Micael,31,6.1
Tate Schmitt,22,6.1
Brooklyn Raines,35,6.4
Artur,6,5.3
Adalberto Carrasquilla,20,7.6
Sebastian Kowalczyk,27,6.4
Ibrahim Aliyu,18,8.0
Gabriel Segal,17,6.2
Dante Vanzeir,13,7.2
Elias Manoel,11,7.6
Emil Forsberg,10,7.3
Frankie Amaya,8,7.4
Daniel Edelman,75,7.4
Peter Stroud,5,6.3
John Tolkin,47,6.5
Noah Eile,3,7.2
Sean Nealis,15,7.5
Dylan Nealis,12,7.5
Carlos Miguel,31,7.2
Franco Escobar,2,7.2
Ján Gregus,21,6.5
Amine Bassi,8,6.4
Brad Smith,3,6.1
Lewis Morgan,9,7.4
Cameron Harper,17,6.0
John McCarthy,77,7.6
Miki Yamane,2,7.7
Jalen Neal,24,7.3
Maya Yoshida,4,7.7
John Nelson,14,7.1
Marco Delgado,8,7.2
Edwin Cerrillo,20,7.3
Gabriel Pec,11,7.9
Ricard Puig,10,8.7
Diego Fagundez,7,6.7
Joseph Paintsil,28,6.3
Jamal Thiaré,29,6.9
Xande Silva,16,7.1
Ajani Fortune,35,6.8
Saba Lobzhanidze,9,6.2
Dax McCarty,13,6.3
Bartosz Slisz,6,7.1
Pedro Amador,18,6.8
Derrick Williams,3,6.0
Stian Gregersen,5,6.2
Brooks Lennon,11,6.1
Brad Guzan,1,8.2
Gaston Brugman,5,7.0
Marco Reus,18,8.5
Miguel Berry,27,6.4
Aleksey Miranchuk,59,6.5
Daniel Rios,19,6.3
Edwin Mosquera,20,5.9
Roman Celentano,18,8.2
DeAndre Yedlin,91,7.0
Chidozie Awaziem,6,7.7
Alvas Elvis Powell,2,7.4
Luca Orellano,23,7.3
Yuya Kubo,7,6.9
Pavel Bucha,20,6.8
Obinna Nwobodo,5,6.7
Nicholas Gioacchini,9,6.3
Luciano Acosta,10,6.6
Kevin Kelsy,19,6.5
Juan Hernández,9,6.5
Diego Rossi,10,6.5
Christian Ramirez,17,7.2
Darlington Nagbe,6,7.2
Alexandru Matan,20,7.6
Max Arfsten,27,7.1
Mohamed Farsi,23,7.2
Sean Zawadzki,25,6.8
Rudy Camacho,4,7.5
Steven Moreira,31,6.9
Patrick Schulte,28,7.1
Sergio Santos,17,5.9
William Yarbrough,25,6.0
Carlos Akapo,29,7.0
Tanner Beason,15,6.4
Rodrigues,26,7.3
Oscar Verhoeven,33,7.0
Niko Tsakiris,30,6.1
Carlos Gruezo,7,7.0
Cristian Espinoza,10,7.0
Hernan Lopez,23,6.6
Amahl Pellegrino,9,6.3
Jeremy Ebobisse,11,7.3
Joao Klauss,9,6.2
Nökkvi Thorisson,29,6.8
Marcel Hartel,17,8.5
Cedric Teuchert,36,7.8
Rasmus Alm,21,6.6
Christopher Durkin,8,6.6
Jannes-Kilian Horn,38,7.2
Kyle Hiebert,22,7.2
Joshua Yaro,15,7.3
Tomas Totland,14,7.7
Roman Bürki,1,7.7
Vitor Costa,94,7.1
Jack Skahan,16,6.1
Paul Marie,3,6.2
Jackson Yueill,14,6.3
Akil Watts,20,6.8
Jayden Reid,99,6.8
Indiana Vassilev,19,6.5
Simon Becher,11,5.8
Jake Girdwood-Reich,3,6.3
Jonathan Sirois,40,7.5
George Campbell,24,7.9
Joel Waterman,16,6.9
Fernando Álvarez,4,7.2
Jahkeele Marshall-Rutty,11,7.4
