player_name,player_number,spi_score
Drake Callender,1,7.3
DeAndre Yedlin,2,7.2
Tomas Aviles,6,7.6
Serhiy Kryvtsov,27,7.5
Jordi Alba,18,7.7
Julian Gressel,24,6.9
Sergio Busquets,5,7.8
Diego Gomez,20,8.6
Lionel Messi,10,8.5
Luis Suárez,9,7.9
Robert Taylor,16,8.4
Cristian Arango,9,6.4
Carlos Gomez,11,5.3
Pablo Ruiz,7,7.0
Diego Luna,8,6.9
Nelson Palacio,13,6.3
Braian Ojeda,6,6.9
Andrew Brody,2,6.5
Brayan Vera,4,6.6
Justen Glad,15,6.5
Emeka Eneli,14,6.8
Zac MacMath,18,5.9
David Ruiz,41,6.3
Jean Mota,7,6.0
Noah Allen,32,6.1
Anderson Julio,29,6.1
Fidel Barajas,17,6.1
Noel Caliskan,92,6.3
Matt Freese,49,2.9
Tayvon Gray,24,5.4
Thiago Martins,13,3.8
Strahinja Tanasijevic,12,6.0
Kevin O'Toole,22,4.4
James Sands,6,5.1
Keaton Parks,55,6.0
Hannes Wolf,17,6.4
Santiago Rodriguez,10,8.2
Agustin Ojeda,26,6.4
Alonso Martinez,16,7.1
Mikael Uhre,7,7.4
Tai Baribo,28,8.3
Daniel Gazdag,10,8.5
Jack McGlynn,16,7.5
Alejandro Bedoya,11,7.6
Leon Flach,31,7.6
Kai Wagner,27,7.7
Nathan Harriel,26,7.6
Jakob Glesnes,5,8.3
Olivier Mbaizo,15,7.9
Andrew Rick,76,8.1
Mitja Ilenic,35,6.8
Maxi Moralez,27,6.5
Andres Perea,8,6.4
Monsef Bakrar,9,6.1
Jovan Mijatovic,7,6.2
Samuel Adeniran,9,6.2
Jesus Bueno,20,7.1
Quinn Sullivan,33,6.8
Andre Blake,18,6.9
Nathan Harriel,26,7.5
Jakob Glesnes,5,7.2
Jack Elliott,3,8.4
Kai Wagner,27,8.1
Jose Andres Martinez,8,7.8
Quinn Sullivan,33,7.9
Jack McGlynn,16,7.3
Daniel Gazdag,10,7.9
Julian Carranza,9,7.7
