player_name,player_number,count,avg(spi_score)
Jalen Neal,24,8,7.0875
Malte Amundsen,18,15,7.086666666666667
Jamal Thiaré,29,20,7.085000000000001
Maya Yoshida,4,25,7.083999999999999
Mateusz Klich,43,18,7.077777777777778
Nathan Byrne,14,22,7.072727272727272
Manuel Cafumana,21,7,7.071428571428571
Daniel Steres,5,9,7.066666666666667
Andres Reyes,4,12,7.066666666666666
Evgen Cheberko,21,17,7.064705882352943
Johnny Russell,7,8,7.062500000000001
Jonathan Rodriguez,14,14,7.057142857142857
Keaton Parks,55,22,7.054545454545454
Taylor Washington,23,6,7.050000000000001
Jakob Glesnes,5,14,7.042857142857144
Andrew Thomas,26,3,7.033333333333334
Alexandru Matan,20,16,7.031249999999999
Marcelo Herrera,2,7,7.028571428571429
Dairon Asprilla,27,7,7.028571428571429
Brooks Lennon,11,16,7.0249999999999995
Edwin Cerrillo,20,25,7.024000000000001
Adilson Malanda,29,22,7.022727272727274
Artur,6,20,7.019999999999999
Thiago Martins,13,21,7.019047619047619
Alexandros Katranis,98,16,7.01875
Dagur Dan Thorhallsson,17,22,7.0181818181818185
Roman Celentano,18,17,7.017647058823529
Carlos Ferreira,11,6,7.016666666666666
Andre Blake,18,13,7.015384615384615
Hannes Wolf,17,22,7.013636363636365
Miles Robinson,12,14,7.007142857142857
Pedro Vite,45,20,7.005
Noah Allen,32,6,7.0
Fabian Herbers,21,9,7.0
Felipe Carballo,20,10,7.0
Jeremy Ebobisse,11,15,7.0
Leo Chu,23,6,7.0
Lukas MacNaughton,3,1,7.0
Markus Anderson,35,1,7.0
Pablo Ruiz,7,1,7.0
Oliver Larraz,18,17,6.9941176470588236
Osman Bukari,7,10,6.99
Rafael Navarro,9,17,6.988235294117648
Wilder Cartagena,16,23,6.98695652173913
Tim Ream,3,15,6.986666666666667
Felipe Mora,9,14,6.985714285714286
Djordje Mihailovic,10,15,6.98
Bryce Duke,10,10,6.9799999999999995
Cesar Araujo,5,21,6.976190476190476
Ryan Hollingshead,24,25,6.975999999999999
Wil Trapp,20,21,6.9714285714285715
Caleb Wiley,26,7,6.971428571428571
Hugo Lloris,1,24,6.970833333333334
Lucas Bartlett,3,18,6.966666666666667
Javain Brown,23,3,6.966666666666666
Jared Stroud,8,20,6.965000000000001
Marco Reus,18,17,6.964705882352941
