player_name,player_number,count,avg(spi_score)
Jamal Thiaré,29,20,7.085000000000001
Mateusz Klich,43,18,7.077777777777778
Manuel Cafumana,21,7,7.071428571428571
Daniel Steres,5,9,7.066666666666666
Andres Reyes,4,12,7.066666666666666
Evgen Cheberko,21,17,7.064705882352941
John Nelson,14,22,7.0636363636363635
Pedro Gallese,1,22,7.0636363636363635
Nathan Byrne,14,21,7.061904761904763
Jonathan Rodriguez,14,14,7.057142857142858
Taylor Washington,23,6,7.050000000000001
Maxi Moralez,27,20,7.05
Andrew Thomas,26,3,7.033333333333334
Alexandru Matan,20,16,7.03125
Dairon Asprilla,27,7,7.028571428571429
Marcelo Herrera,2,7,7.028571428571429
Brooks Lennon,11,16,7.025
Adilson Malanda,29,21,7.023809523809524
Edwin Cerrillo,20,24,7.020833333333333
Artur,6,20,7.019999999999999
Alexandros Katranis,98,16,7.018750000000001
Roman Celentano,18,17,7.017647058823529
Carlos Ferreira,11,6,7.016666666666666
Andre Blake,18,13,7.015384615384615
Wil Trapp,20,20,7.010000000000001
Dagur Dan Thorhallsson,17,21,7.00952380952381
Miles Robinson,12,14,7.007142857142858
Pedro Vite,45,20,7.005
Stephen Afrifa,30,13,7.0
Felipe Carballo,20,10,7.0
Noah Allen,32,6,7.0
Jeremy Ebobisse,11,15,7.0
Leo Chu,23,6,7.0
Fabian Herbers,21,9,7.0
Lukas MacNaughton,3,1,7.0
Markus Anderson,35,1,7.0
Pablo Ruiz,7,1,7.0
Wilder Cartagena,16,22,6.995454545454544
Oliver Larraz,18,17,6.994117647058824
Cesar Araujo,5,20,6.99
Osman Bukari,7,10,6.99
Rafael Navarro,9,17,6.988235294117647
Felipe Mora,9,14,6.985714285714287
Akil Watts,20,13,6.984615384615383
Djordje Mihailovic,10,15,6.980000000000001
Bryce Duke,10,10,6.9799999999999995
James Sands,6,21,6.976190476190476
Ryan Hollingshead,24,25,6.975999999999999
Tim Ream,3,14,6.971428571428572
Caleb Wiley,26,7,6.971428571428571
Hugo Lloris,1,24,6.970833333333332
Lucas Bartlett,3,18,6.966666666666666
Keaton Parks,55,24,6.966666666666666
Javain Brown,23,3,6.966666666666666
Jared Stroud,8,20,6.965000000000001
Hannes Wolf,17,24,6.962500000000001
Aleksey Miranchuk,59,13,6.961538461538462
Ryan Raposo,7,10,6.960000000000001
Anthony Markanich,13,5,6.959999999999999
Marco Delgado,8,19,6.9526315789473685
John McCarthy,77,22,6.945454545454544
Mikael Uhre,7,18,6.944444444444444
Alejandro Bedoya,11,18,6.944444444444444
